date,0_5,6_12,13_19,20_29,30_39,40_49,50_59,60_69,70_79,80_89
2020-02-22,0,0,0,0,0,0,0,0,2,0
2020-02-23,0,0,0,0,0,0,0,1,0,2
2020-02-24,0,0,0,0,0,0,0,1,2,1
2020-02-25,0,0,0,0,0,0,0,1,2,5
2020-02-26,0,0,0,0,0,0,0,0,0,4
2020-02-27,0,0,0,0,0,0,0,0,2,3
2020-02-28,0,0,0,0,0,0,0,0,3,4
2020-02-29,0,0,0,0,0,0,0,1,5,4
2020-03-01,0,0,0,0,0,0,0,3,3,8
2020-03-02,0,0,0,0,0,0,0,0,5,9
2020-03-03,0,0,0,0,0,0,1,2,17,16
2020-03-04,0,0,0,0,0,0,0,3,13,19
2020-03-05,0,0,0,0,1,0,1,8,15,32
2020-03-06,0,0,0,0,0,1,3,8,26,41
2020-03-07,0,0,0,0,0,0,2,11,44,55
2020-03-08,0,0,0,0,0,3,6,7,52,61
2020-03-09,0,0,0,0,0,1,4,17,62,79
2020-03-10,0,0,0,0,0,2,5,12,72,89
2020-03-11,0,0,0,0,0,3,8,20,82,92
2020-03-12,0,0,0,0,1,0,2,17,84,110
2020-03-13,0,0,0,0,1,0,9,20,98,92
2020-03-14,0,0,0,0,0,5,6,25,105,105
2020-03-15,0,0,0,0,0,0,12,31,103,103
2020-03-16,0,0,0,0,3,2,8,41,121,125
2020-03-17,0,0,0,0,0,2,13,47,143,151
2020-03-18,0,0,0,0,1,4,12,56,140,130
2020-03-19,0,0,0,0,1,5,11,70,130,142
2020-03-20,0,0,0,0,2,6,18,54,149,165
2020-03-21,0,0,0,0,2,5,23,63,176,177
2020-03-22,0,0,0,0,0,3,19,64,151,156
2020-03-23,0,0,0,0,2,6,22,60,167,155
2020-03-24,0,0,0,0,1,7,14,71,149,159
2020-03-25,0,0,0,0,0,4,24,49,174,159
2020-03-26,0,0,0,0,0,2,22,73,149,159
2020-03-27,0,0,0,0,1,2,14,58,160,162
2020-03-28,0,0,0,0,0,4,18,63,148,168
2020-03-29,0,0,0,1,0,6,10,47,122,154
2020-03-30,0,0,0,0,0,5,15,35,113,135
2020-03-31,0,0,0,0,0,5,11,45,91,130
2020-04-01,1,0,0,0,1,2,12,43,122,113
2020-04-02,0,0,0,0,0,5,7,46,78,121
2020-04-03,0,0,0,0,0,4,13,34,103,105
2020-04-04,0,0,0,0,0,3,11,28,74,120
2020-04-05,0,0,0,0,0,2,9,33,76,103
2020-04-06,0,0,0,0,0,1,9,27,67,101
2020-04-07,0,0,0,1,0,4,10,32,59,121
2020-04-08,0,0,0,0,2,4,15,33,52,120
2020-04-09,0,0,0,0,0,4,13,27,52,102
2020-04-10,0,0,0,0,0,2,8,23,57,92
2020-04-11,0,0,0,0,0,3,7,22,47,105
2020-04-12,0,0,0,0,0,1,6,17,41,98
2020-04-13,0,0,0,0,0,2,10,24,41,94
2020-04-14,0,0,0,0,1,3,7,22,49,100
2020-04-15,0,0,0,0,0,0,3,23,49,88
2020-04-16,0,0,0,0,0,2,8,16,44,70
2020-04-17,0,0,0,0,2,1,3,25,43,64
2020-04-18,0,0,0,0,1,3,6,12,47,68
2020-04-19,0,0,0,0,0,4,13,16,28,79
2020-04-20,0,0,0,0,1,2,4,20,41,73
2020-04-21,0,0,0,0,0,0,1,20,26,49
2020-04-22,0,0,0,0,0,0,3,12,31,63
2020-04-23,0,0,0,0,0,1,5,14,20,63
2020-04-24,0,0,0,0,0,0,5,12,25,62
2020-04-25,1,0,0,0,0,0,1,14,33,48
2020-04-26,0,0,0,0,0,0,5,12,25,52
2020-04-27,0,0,0,0,0,0,2,10,27,52
2020-04-28,0,0,0,0,0,0,2,17,18,57
2020-04-29,0,0,0,0,0,1,3,11,32,49
2020-04-30,0,0,0,0,1,1,4,6,21,49
2020-05-01,0,0,0,0,0,1,4,13,22,41
2020-05-02,0,0,0,0,0,1,1,6,23,33
2020-05-03,0,0,0,0,0,1,2,10,13,38
2020-05-04,0,0,0,0,0,2,4,0,16,36
2020-05-05,0,0,0,0,1,0,3,5,18,42
2020-05-06,0,1,0,0,0,0,4,10,22,37
2020-05-07,0,0,0,0,0,0,1,4,16,26
2020-05-08,0,0,0,0,0,0,1,5,17,28
2020-05-09,0,0,0,0,1,0,5,12,17,29
2020-05-10,0,0,0,0,0,0,5,10,9,38
2020-05-11,0,0,0,0,0,2,1,4,18,29
2020-05-12,0,0,0,1,0,0,6,6,9,29
2020-05-13,0,0,0,0,0,1,1,5,8,31
2020-05-14,0,0,0,0,0,0,1,6,12,24
2020-05-15,0,0,0,0,0,0,1,7,5,25
2020-05-16,0,0,0,0,0,1,0,4,5,24
2020-05-17,0,0,0,0,0,1,2,3,4,24
2020-05-18,0,0,0,0,0,0,2,2,1,16
2020-05-19,0,0,0,0,1,0,1,4,8,15
2020-05-20,0,0,0,0,0,0,1,1,2,19
