date,80_+,others
2020-03-02,1,1
2020-03-03,1,3
2020-03-04,0,2
2020-03-05,0,3
2020-03-06,1,3
2020-03-07,0,10
2020-03-08,1,13
2020-03-09,1,13
2020-03-10,7,18
2020-03-11,11,17
2020-03-12,8,47
2020-03-13,5,39
2020-03-14,14,42
2020-03-15,13,32
2020-03-16,15,59
2020-03-17,26,47
2020-03-18,21,75
2020-03-19,13,41
2020-03-20,73,148
2020-03-21,26,97
2020-03-22,11,41
2020-03-23,14,55
2020-03-24,24,89
2020-03-25,21,80
2020-03-26,39,134
2020-03-27,17,62
2020-03-28,13,91
2020-03-29,5,53
2020-03-30,50,99
2020-03-31,27,140
2020-04-01,16,77
2020-04-02,41,114
2020-04-03,30,93
2020-04-04,10,34
2020-04-05,4,26
2020-04-06,50,84
2020-04-07,27,105
2020-04-08,31,89
2020-04-09,59,70
2020-04-10,15,92
2020-04-11,22,15
2020-04-12,4,5
2020-04-13,26,20
2020-04-14,19,68
2020-04-15,33,98
2020-04-16,11,57
2020-04-17,11,87
2020-04-18,2,4
2020-04-19,1,8
2020-04-20,18,60
2020-04-21,27,44
2020-04-22,7,37
2020-04-23,22,32
2020-04-24,20,50
2020-04-25,20,42
2020-04-26,6,39
2020-04-27,17,41
2020-04-28,3,31
2020-04-29,5,21
2020-04-30,6,60
2020-05-01,9,36
2020-05-02,7,25
2020-05-03,1,3
2020-05-04,13,47
2020-05-05,16,61
2020-05-06,9,29
2020-05-07,9,34
2020-05-08,6,55
2020-05-09,2,11
2020-05-10,5,4
2020-05-11,5,34
2020-05-12,2,23
2020-05-13,4,19
2020-05-14,0,22
2020-05-15,1,27
2020-05-16,1,5
2020-05-17,0,0
2020-05-18,3,10
2020-05-19,5,15
2020-05-20,4,10
2020-05-21,2,2
2020-05-22,3,9
2020-05-23,1,2
2020-05-24,1,1
2020-05-25,4,15
2020-05-26,1,6
2020-05-27,0,0
2020-05-28,2,1
2020-05-29,0,3
2020-05-30,0,0
2020-05-31,0,3
2020-06-01,1,1
2020-06-02,0,0
2020-06-03,0,3
2020-06-04,0,2
2020-06-05,1,1
2020-06-06,0,1
2020-06-07,0,1
2020-06-08,0,2
2020-06-09,0,2
2020-06-10,0,2
2020-06-11,0,3
2020-06-12,0,0
2020-06-13,0,1
2020-06-14,1,0
2020-06-15,1,2
2020-06-16,0,1
2020-06-17,0,5
2020-06-18,1,2
2020-06-19,1,4
2020-06-20,0,0
2020-06-21,0,1
2020-06-22,0,1
2020-06-23,0,2
2020-06-24,0,5
2020-06-25,0,2
2020-06-26,0,1
2020-06-27,0,0
2020-06-28,0,0
2020-06-29,0,0
2020-06-30,0,6
2020-07-01,0,2
2020-07-02,1,0
2020-07-03,0,2
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,2
2020-07-07,0,2
2020-07-08,0,2
2020-07-09,0,0
2020-07-10,0,0
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,3
2020-07-16,0,0
2020-07-17,0,2
2020-07-18,0,0
2020-07-19,1,3
2020-07-20,2,30
2020-07-21,0,20
2020-07-22,0,7
2020-07-23,0,10
2020-07-24,0,6
2020-07-25,0,0
2020-07-26,1,0
2020-07-27,0,2
2020-07-28,0,5
2020-07-29,0,2
2020-07-30,0,0
2020-07-31,0,4
2020-08-01,0,0
2020-08-02,1,1
2020-08-03,0,3
2020-08-04,0,1
2020-08-05,0,3
2020-08-06,0,4
2020-08-07,0,3
2020-08-08,0,0
2020-08-09,0,1
2020-08-10,0,2
2020-08-11,0,1
2020-08-12,0,3
2020-08-13,0,1
2020-08-14,0,1
2020-08-15,0,1
2020-08-16,0,0
2020-08-17,0,3
2020-08-18,0,6
2020-08-19,0,1
2020-08-20,0,6
2020-08-21,0,6
2020-08-22,0,3
2020-08-23,0,1
2020-08-24,0,6
2020-08-25,0,12
2020-08-26,1,17
2020-08-27,0,13
2020-08-28,0,14
2020-08-29,0,3
2020-08-30,0,3
2020-08-31,0,8
2020-09-01,0,47
2020-09-02,0,74
2020-09-03,0,41
2020-09-04,1,59
2020-09-05,1,15
2020-09-06,0,5
2020-09-07,3,35
2020-09-08,3,51
2020-09-09,0,34
2020-09-10,0,10
2020-09-11,0,35
2020-09-12,0,13
2020-09-13,1,4
2020-09-14,0,44
2020-09-15,3,60
2020-09-16,0,19
2020-09-17,1,31
2020-09-18,3,52
2020-09-19,1,11
2020-09-20,1,0
2020-09-21,3,42
2020-09-22,0,68
2020-09-23,0,52
2020-09-24,0,28
2020-09-25,0,27
2020-09-26,0,5
2020-09-27,0,1
2020-09-28,8,51
2020-09-29,2,32
2020-09-30,5,26
2020-10-01,1,43
2020-10-02,2,53
2020-10-03,2,3
2020-10-04,17,14
2020-10-05,3,87
2020-10-06,1,18
2020-10-07,6,46
2020-10-08,5,39
2020-10-09,5,39
2020-10-10,1,10
2020-10-11,0,2
2020-10-12,4,56
2020-10-13,12,81
2020-10-14,6,85
2020-10-15,10,74
2020-10-16,7,134
2020-10-17,2,34
2020-10-18,4,4
2020-10-19,10,166
2020-10-20,12,172
2020-10-21,23,202
2020-10-22,15,143
2020-10-23,21,232
2020-10-24,11,83
2020-10-25,11,48
2020-10-26,27,211
2020-10-27,38,173
2020-10-28,28,247
2020-10-29,17,252
2020-10-30,37,289
2020-10-31,14,89
2020-11-01,25,34
2020-11-02,53,293
2020-11-03,55,214
2020-11-04,50,207
2020-11-05,63,265
2020-11-06,46,231
2020-11-07,32,126
2020-11-08,15,80
2020-11-09,44,241
2020-11-10,41,275
2020-11-11,63,255
2020-11-12,34,183
2020-11-13,96,238
2020-11-14,17,79
2020-11-15,28,35
2020-11-16,40,263
2020-11-17,60,210
2020-11-18,91,190
2020-11-19,28,153
2020-11-20,29,149
2020-11-21,16,49
2020-11-22,8,40
2020-11-23,93,207
2020-11-24,38,193
2020-11-25,71,238
2020-11-26,29,139
2020-11-27,38,237
2020-11-28,36,102
2020-11-29,21,64
2020-11-30,87,256
2020-12-01,63,255
2020-12-02,34,190
2020-12-03,38,148
2020-12-04,84,224
2020-12-05,19,106
2020-12-06,13,61
2020-12-07,80,232
2020-12-08,23,92
2020-12-09,59,217
2020-12-10,54,260
2020-12-11,68,398
2020-12-12,26,292
2020-12-13,16,69
2020-12-14,48,428
2020-12-15,53,226
2020-12-16,24,175
2020-12-17,38,204
2020-12-18,42,187
2020-12-19,13,137
2020-12-20,9,42
2020-12-21,25,151
2020-12-22,42,271
2020-12-23,33,190
2020-12-24,41,152
2020-12-25,11,30
2020-12-26,23,98
2020-12-27,18,70
2020-12-28,24,176
2020-12-29,49,338
2020-12-30,48,319
2020-12-31,33,282
2021-01-01,25,33
2021-01-02,11,200
2021-01-03,21,67
2021-01-04,40,292
2021-01-05,42,308
2021-01-06,5,103
2021-01-07,39,206
2021-01-08,35,234
2021-01-09,17,120
2021-01-10,11,54
2021-01-11,32,144
2021-01-12,25,187
2021-01-13,24,139
2021-01-14,17,109
2021-01-15,22,159
2021-01-16,11,105
2021-01-17,9,31
2021-01-18,31,160
2021-01-19,18,222
2021-01-20,11,147
2021-01-21,10,161
2021-01-22,21,168
2021-01-23,9,106
2021-01-24,7,30
2021-01-25,26,156
2021-01-26,18,225
2021-01-27,11,227
2021-01-28,17,230
2021-01-29,17,233
2021-01-30,6,113
2021-01-31,6,32
2021-02-01,16,183
2021-02-02,21,249
2021-02-03,15,217
2021-02-04,14,184
2021-02-05,24,265
2021-02-06,14,143
2021-02-07,6,40
2021-02-08,9,180
2021-02-09,12,308
2021-02-10,18,223
2021-02-11,17,201
2021-02-12,22,237
2021-02-13,9,120
2021-02-14,3,29
2021-02-15,16,204
2021-02-16,18,271
2021-02-17,21,288
2021-02-18,13,243
2021-02-19,15,308
2021-02-20,7,227
2021-02-21,3,55
2021-02-22,18,238
2021-02-23,17,401
2021-02-24,19,392
2021-02-25,23,310
2021-02-26,22,376
2021-02-27,13,197
2021-02-28,5,77
2021-03-01,22,292
2021-03-02,13,318
2021-03-03,8,333
2021-03-04,11,330
2021-03-05,16,282
2021-03-06,7,182
2021-03-07,5,97
2021-03-08,17,262
2021-03-09,23,361
2021-03-10,21,334
2021-03-11,14,244
2021-03-12,15,293
2021-03-13,4,212
2021-03-14,7,26
2021-03-15,16,247
2021-03-16,18,280
2021-03-17,13,312
2021-03-18,17,205
2021-03-19,13,271
2021-03-20,9,128
2021-03-21,2,82
2021-03-22,11,220
2021-03-23,12,290
2021-03-24,10,215
2021-03-25,11,199
2021-03-26,11,209
2021-03-27,3,122
2021-03-28,4,51
2021-03-29,8,197
2021-03-30,13,172
2021-03-31,5,152
2021-04-01,7,129
2021-04-02,5,134
2021-04-03,3,79
2021-04-04,5,20
2021-04-05,2,25
2021-04-06,6,155
2021-04-07,1,129
2021-04-08,6,91
2021-04-09,4,106
2021-04-10,4,90
2021-04-11,0,35
2021-04-12,9,108
2021-04-13,4,118
2021-04-14,1,104
2021-04-15,3,79
2021-04-16,4,84
2021-04-17,1,56
2021-04-18,3,17
2021-04-19,6,116
2021-04-20,2,100
2021-04-21,3,94
2021-04-22,2,98
2021-04-23,1,85
2021-04-24,2,61
2021-04-25,0,9
2021-04-26,5,103
2021-04-27,3,98
2021-04-28,5,75
2021-04-29,2,65
2021-04-30,0,91
2021-05-01,1,18
2021-05-02,0,26
2021-05-03,2,85
2021-05-04,4,76
2021-05-05,1,73
2021-05-06,0,65
2021-05-07,0,79
2021-05-08,0,35
2021-05-09,0,17
2021-05-10,3,56
2021-05-11,1,64
2021-05-12,0,40
2021-05-13,1,52
2021-05-14,5,68
2021-05-15,0,47
2021-05-16,1,14
2021-05-17,0,48
2021-05-18,2,57
2021-05-19,1,38
2021-05-20,1,26
2021-05-21,0,50
2021-05-22,0,36
2021-05-23,2,7
2021-05-24,1,31
2021-05-25,0,47
2021-05-26,1,44
2021-05-27,2,36
2021-05-28,1,35
2021-05-29,1,26
2021-05-30,0,5
2021-05-31,0,41
2021-06-01,1,30
2021-06-02,1,4
2021-06-03,0,25
2021-06-04,2,25
2021-06-05,0,12
2021-06-06,0,6
2021-06-07,2,33
2021-06-08,0,18
2021-06-09,1,18
2021-06-10,2,16
2021-06-11,0,11
2021-06-12,1,10
2021-06-13,0,2
2021-06-14,0,7
2021-06-15,0,6
2021-06-16,1,9
2021-06-17,1,7
2021-06-18,0,9
2021-06-19,0,2
2021-06-20,0,2
2021-06-21,1,6
2021-06-22,0,4
2021-06-23,0,3
2021-06-24,0,7
2021-06-25,1,3
2021-06-26,0,0
2021-06-27,0,1
2021-06-28,0,5
2021-06-29,0,6
2021-06-30,0,5
2021-07-01,0,8
2021-07-02,0,5
2021-07-03,0,3
2021-07-04,0,0
2021-07-05,0,1
2021-07-06,0,5
2021-07-07,0,3
2021-07-08,0,3
2021-07-09,1,6
2021-07-10,0,8
2021-07-11,0,2
2021-07-12,0,12
2021-07-13,0,26
2021-07-14,0,18
2021-07-15,1,34
2021-07-16,0,24
2021-07-17,0,23
2021-07-18,1,3
2021-07-19,1,31
2021-07-20,2,45
2021-07-21,0,50
2021-07-22,0,43
2021-07-23,0,41
2021-07-24,0,25
2021-07-25,0,18
2021-07-26,2,35
2021-07-27,1,43
2021-07-28,0,26
2021-07-29,1,35
2021-07-30,0,37
2021-07-31,0,33
2021-08-01,0,11
2021-08-02,0,25
2021-08-03,2,33
2021-08-04,0,27
2021-08-05,1,20
2021-08-06,3,42
2021-08-07,0,28
2021-08-08,1,14
2021-08-09,3,40
2021-08-10,3,34
2021-08-11,1,29
2021-08-12,1,64
2021-08-13,0,39
2021-08-14,2,45
2021-08-15,0,17
2021-08-16,2,39
2021-08-17,2,56
2021-08-18,1,30
2021-08-19,2,47
2021-08-20,4,30
2021-08-21,2,40
2021-08-22,1,16
2021-08-23,1,44
2021-08-24,0,44
2021-08-25,2,44
2021-08-26,0,36
2021-08-27,0,46
2021-08-28,0,46
2021-08-29,0,12
2021-08-30,0,27
2021-08-31,0,34
2021-09-01,1,55
2021-09-02,0,12
2021-09-03,2,35
2021-09-04,0,26
2021-09-05,0,16
2021-09-06,4,39
2021-09-07,3,45
2021-09-08,3,30
2021-09-09,3,20
2021-09-10,0,40
2021-09-11,1,20
2021-09-12,0,14
2021-09-13,10,48
2021-09-14,0,38
2021-09-15,2,24
2021-09-16,1,25
2021-09-17,0,52
2021-09-18,1,13
2021-09-19,2,8
2021-09-20,1,32
2021-09-21,0,39
2021-09-22,3,28
2021-09-23,2,18
2021-09-24,2,17
2021-09-25,1,13
2021-09-26,1,4
2021-09-27,0,25
2021-09-28,1,41
2021-09-29,0,21
2021-09-30,0,38
2021-10-01,1,33
2021-10-02,1,31
2021-10-03,0,3
2021-10-04,0,23
2021-10-05,0,34
2021-10-06,3,30
2021-10-07,4,21
2021-10-08,2,21
2021-10-09,1,30
2021-10-10,1,9
2021-10-11,2,21
2021-10-12,0,27
2021-10-13,0,21
2021-10-14,2,38
2021-10-15,3,20
2021-10-16,1,13
2021-10-17,5,14
2021-10-18,1,29
2021-10-19,13,34
2021-10-20,0,42
2021-10-21,1,31
2021-10-22,10,35
2021-10-23,0,27
2021-10-24,2,23
2021-10-25,3,52
2021-10-26,4,52
2021-10-27,8,49
2021-10-28,1,18
2021-10-29,8,59
2021-10-30,4,56
2021-10-31,2,15
2021-11-01,2,26
2021-11-02,4,80
2021-11-03,3,64
2021-11-04,4,77
2021-11-05,2,67
2021-11-06,0,35
2021-11-07,2,44
2021-11-08,2,60
2021-11-09,2,49
2021-11-10,4,65
2021-11-11,3,63
2021-11-12,6,93
2021-11-13,0,46
2021-11-14,1,33
2021-11-15,7,107
2021-11-16,6,101
2021-11-17,5,90
2021-11-18,8,114
