date,80_+,others
2020-02-20,2.0,
2020-02-21,0.0,1.0
2020-02-22,0.0,0.0
2020-02-23,1.0,5.0
2020-02-24,1.0,1.0
2020-02-25,0.0,0.0
2020-02-26,2.0,2.0
2020-02-27,3.0,2.0
2020-02-28,2.0,1.0
2020-02-29,2.0,3.0
2020-03-01,0.0,5.0
2020-03-02,4.0,5.0
2020-03-03,6.0,20.0
2020-03-04,8.0,17.0
2020-03-05,8.0,23.0
2020-03-06,10.0,30.0
2020-03-07,8.0,41.0
2020-03-08,10.0,33.0
2020-03-09,13.0,35.0
2020-03-10,21.0,30.0
2020-03-11,16.0,54.0
2020-03-12,26.0,59.0
2020-03-13,25.0,89.0
2020-03-14,7.0,33.0
2020-03-15,10.0,29.0
2020-03-16,9.0,41.0
2020-03-17,7.0,60.0
2020-03-18,9.0,41.0
2020-03-19,19.0,33.0
2020-03-20,18.0,47.0
2020-03-21,22.0,50.0
2020-03-22,22.0,48.0
2020-03-23,22.0,74.0
2020-03-24,16.0,48.0
2020-03-25,18.0,42.0
2020-03-26,11.0,46.0
2020-03-27,8.0,33.0
2020-03-28,6.0,16.0
2020-03-29,9.0,18.0
2020-03-30,7.0,32.0
2020-03-31,8.0,38.0
2020-04-01,12.0,38.0
2020-04-02,7.0,40.0
2020-04-03,10.0,22.0
2020-04-04,6.0,17.0
2020-04-05,5.0,8.0
2020-04-06,11.0,30.0
2020-04-07,21.0,51.0
2020-04-08,26.0,63.0
2020-04-09,37.0,78.0
2020-04-10,17.0,45.0
2020-04-11,16.0,25.0
2020-04-12,10.0,12.0
2020-04-13,6.0,21.0
2020-04-14,16.0,40.0
2020-04-15,13.0,30.0
2020-04-16,15.0,41.0
2020-04-17,24.0,63.0
2020-04-18,30.0,35.0
2020-04-19,40.0,37.0
2020-04-20,40.0,53.0
2020-04-21,29.0,49.0
2020-04-22,31.0,54.0
2020-04-23,34.0,44.0
2020-04-24,40.0,61.0
2020-04-25,30.0,33.0
2020-04-26,32.0,27.0
2020-04-27,27.0,47.0
2020-04-28,23.0,42.0
2020-04-29,24.0,53.0
2020-04-30,21.0,40.0
2020-05-01,25.0,19.0
2020-05-02,11.0,27.0
2020-05-03,16.0,17.0
2020-05-04,14.0,33.0
2020-05-05,11.0,34.0
2020-05-06,27.0,28.0
2020-05-07,19.0,31.0
2020-05-08,23.0,32.0
2020-05-09,11.0,18.0
2020-05-10,8.0,26.0
2020-05-11,16.0,32.0
2020-05-12,16.0,19.0
2020-05-13,11.0,23.0
2020-05-14,15.0,32.0
2020-05-15,16.0,35.0
2020-05-16,11.0,22.0
2020-05-17,15.0,12.0
2020-05-18,12.0,31.0
2020-05-19,6.0,25.0
2020-05-20,4.0,27.0
2020-05-21,7.0,14.0
2020-05-22,6.0,29.0
2020-05-23,12.0,8.0
2020-05-24,8.0,12.0
2020-05-25,15.0,24.0
2020-05-26,9.0,16.0
2020-05-27,6.0,24.0
2020-05-28,6.0,12.0
2020-05-29,10.0,15.0
2020-05-30,3.0,22.0
2020-05-31,5.0,6.0
2020-06-01,9.0,23.0
2020-06-02,7.0,7.0
2020-06-03,7.0,18.0
2020-06-04,7.0,12.0
2020-06-05,5.0,17.0
2020-06-06,2.0,4.0
2020-06-07,4.0,4.0
2020-06-08,4.0,25.0
2020-06-09,6.0,15.0
2020-06-10,6.0,13.0
2020-06-11,8.0,13.0
2020-06-12,3.0,20.0
2020-06-13,3.0,5.0
2020-06-14,7.0,6.0
2020-06-15,4.0,8.0
2020-06-16,3.0,10.0
2020-06-17,5.0,20.0
2020-06-18,3.0,14.0
2020-06-19,11.0,18.0
2020-06-20,1.0,5.0
2020-06-21,7.0,4.0
2020-06-22,7.0,23.0
2020-06-23,6.0,9.0
2020-06-24,2.0,17.0
2020-06-25,4.0,5.0
2020-06-26,4.0,15.0
2020-06-27,1.0,4.0
2020-06-28,2.0,3.0
2020-06-29,6.0,18.0
2020-06-30,2.0,16.0
2020-07-01,5.0,13.0
2020-07-02,7.0,6.0
2020-07-03,4.0,13.0
2020-07-04,0.0,3.0
2020-07-05,4.0,0.0
2020-07-06,3.0,9.0
2020-07-07,3.0,8.0
2020-07-08,1.0,10.0
2020-07-09,4.0,8.0
2020-07-10,6.0,9.0
2020-07-11,2.0,3.0
2020-07-12,1.0,6.0
2020-07-13,5.0,19.0
2020-07-14,2.0,9.0
2020-07-15,3.0,12.0
2020-07-16,2.0,10.0
2020-07-17,7.0,12.0
2020-07-18,6.0,4.0
2020-07-19,6.0,1.0
2020-07-20,5.0,17.0
2020-07-21,3.0,11.0
2020-07-22,4.0,9.0
2020-07-23,1.0,10.0
2020-07-24,4.0,6.0
2020-07-25,4.0,5.0
2020-07-26,3.0,3.0
2020-07-27,1.0,14.0
2020-07-28,3.0,11.0
2020-07-29,1.0,9.0
2020-07-30,3.0,10.0
2020-07-31,2.0,11.0
2020-08-01,3.0,7.0
2020-08-02,2.0,4.0
2020-08-03,8.0,18.0
2020-08-04,3.0,5.0
2020-08-05,1.0,7.0
2020-08-06,4.0,10.0
2020-08-07,2.0,12.0
2020-08-08,1.0,5.0
2020-08-09,1.0,5.0
2020-08-10,2.0,11.0
2020-08-11,3.0,6.0
2020-08-12,4.0,8.0
2020-08-13,3.0,4.0
2020-08-14,5.0,7.0
2020-08-15,4.0,5.0
2020-08-16,4.0,1.0
2020-08-17,2.0,12.0
2020-08-18,6.0,18.0
2020-08-19,5.0,18.0
2020-08-20,1.0,10.0
2020-08-21,2.0,6.0
2020-08-22,2.0,5.0
2020-08-23,2.0,2.0
2020-08-24,4.0,7.0
2020-08-25,5.0,12.0
2020-08-26,2.0,8.0
2020-08-27,3.0,4.0
2020-08-28,4.0,11.0
2020-08-29,1.0,3.0
2020-08-30,2.0,5.0
2020-08-31,3.0,10.0
2020-09-01,1.0,12.0
2020-09-02,7.0,12.0
2020-09-03,3.0,13.0
2020-09-04,5.0,11.0
2020-09-05,3.0,6.0
2020-09-06,10.0,2.0
2020-09-07,6.0,8.0
2020-09-08,4.0,18.0
2020-09-09,3.0,5.0
2020-09-10,3.0,6.0
2020-09-11,6.0,9.0
2020-09-12,3.0,7.0
2020-09-13,3.0,7.0
2020-09-14,7.0,11.0
2020-09-15,4.0,11.0
2020-09-16,5.0,16.0
2020-09-17,6.0,9.0
2020-09-18,2.0,11.0
2020-09-19,1.0,7.0
2020-09-20,4.0,5.0
2020-09-21,6.0,19.0
2020-09-22,3.0,14.0
2020-09-23,4.0,22.0
2020-09-24,9.0,20.0
2020-09-25,2.0,15.0
2020-09-26,0.0,11.0
2020-09-27,0.0,8.0
2020-09-28,9.0,37.0
2020-09-29,5.0,17.0
2020-09-30,12.0,20.0
2020-10-01,7.0,22.0
2020-10-02,9.0,30.0
2020-10-03,6.0,16.0
2020-10-04,11.0,17.0
2020-10-05,9.0,30.0
2020-10-06,12.0,39.0
2020-10-07,16.0,38.0
2020-10-08,7.0,39.0
2020-10-09,16.0,35.0
2020-10-10,11.0,26.0
2020-10-11,12.0,31.0
2020-10-12,12.0,51.0
2020-10-13,15.0,57.0
2020-10-14,9.0,50.0
2020-10-15,23.0,69.0
2020-10-16,27.0,53.0
2020-10-17,23.0,62.0
2020-10-18,19.0,62.0
2020-10-19,34.0,84.0
2020-10-20,42.0,92.0
2020-10-21,35.0,93.0
2020-10-22,43.0,104.0
2020-10-23,34.0,117.0
2020-10-24,57.0,114.0
2020-10-25,36.0,116.0
2020-10-26,52.0,125.0
2020-10-27,54.0,136.0
2020-10-28,50.0,132.0
2020-10-29,59.0,129.0
2020-10-30,57.0,134.0
2020-10-31,70.0,131.0
2020-11-01,56.0,99.0
2020-11-02,74.0,185.0
2020-11-03,70.0,160.0
2020-11-04,68.0,176.0
2020-11-05,94.0,173.0
2020-11-06,76.0,174.0
2020-11-07,78.0,156.0
2020-11-08,71.0,150.0
2020-11-09,92.0,166.0
2020-11-10,79.0,169.0
2020-11-11,88.0,150.0
2020-11-12,81.0,187.0
2020-11-13,82.0,197.0
2020-11-14,56.0,126.0
2020-11-15,63.0,109.0
2020-11-16,82.0,164.0
2020-11-17,85.0,155.0
2020-11-18,94.0,175.0
2020-11-19,81.0,143.0
2020-11-20,89.0,119.0
2020-11-21,56.0,102.0
2020-11-22,63.0,87.0
2020-11-23,68.0,135.0
2020-11-24,66.0,116.0
2020-11-25,71.0,113.0
2020-11-26,58.0,92.0
2020-11-27,61.0,75.0
2020-11-28,52.0,72.0
2020-11-29,55.0,69.0
2020-11-30,54.0,79.0
2020-12-01,60.0,78.0
2020-12-02,52.0,60.0
2020-12-03,60.0,67.0
2020-12-04,57.0,73.0
2020-12-05,43.0,55.0
2020-12-06,39.0,49.0
2020-12-07,59.0,50.0
2020-12-08,44.0,48.0
2020-12-09,40.0,63.0
2020-12-10,38.0,49.0
2020-12-11,43.0,50.0
2020-12-12,45.0,45.0
2020-12-13,29.0,39.0
2020-12-14,44.0,53.0
2020-12-15,43.0,56.0
2020-12-16,23.0,53.0
2020-12-17,38.0,47.0
2020-12-18,29.0,44.0
2020-12-19,21.0,36.0
2020-12-20,31.0,41.0
2020-12-21,39.0,57.0
2020-12-22,43.0,54.0
2020-12-23,36.0,39.0
2020-12-24,30.0,53.0
2020-12-25,30.0,29.0
2020-12-26,23.0,38.0
2020-12-27,31.0,42.0
2020-12-28,26.0,38.0
2020-12-29,36.0,42.0
2020-12-30,31.0,38.0
2020-12-31,23.0,45.0
2021-01-01,22.0,47.0
2021-01-02,21.0,41.0
2021-01-03,23.0,40.0
2021-01-04,28.0,41.0
2021-01-05,37.0,42.0
2021-01-06,30.0,40.0
2021-01-07,35.0,52.0
2021-01-08,31.0,52.0
2021-01-09,33.0,42.0
2021-01-10,44.0,30.0
2021-01-11,30.0,39.0
2021-01-12,34.0,46.0
2021-01-13,26.0,47.0
2021-01-14,43.0,38.0
2021-01-15,22.0,47.0
2021-01-16,35.0,44.0
2021-01-17,22.0,35.0
2021-01-18,32.0,56.0
2021-01-19,24.0,30.0
2021-01-20,23.0,38.0
2021-01-21,39.0,48.0
2021-01-22,30.0,33.0
2021-01-23,22.0,44.0
2021-01-24,22.0,29.0
2021-01-25,27.0,40.0
2021-01-26,24.0,41.0
2021-01-27,14.0,36.0
2021-01-28,19.0,33.0
2021-01-29,27.0,32.0
2021-01-30,17.0,34.0
2021-01-31,13.0,41.0
2021-02-01,25.0,45.0
2021-02-02,22.0,44.0
2021-02-03,32.0,32.0
2021-02-04,24.0,37.0
2021-02-05,23.0,52.0
2021-02-06,17.0,39.0
2021-02-07,19.0,38.0
2021-02-08,19.0,38.0
2021-02-09,19.0,41.0
2021-02-10,17.0,39.0
2021-02-11,25.0,43.0
2021-02-12,23.0,33.0
2021-02-13,16.0,30.0
2021-02-14,16.0,37.0
