dt_TERAPIAINTENSIVA,terapia intensiva,deceduti,deceduti/terapia intensiva 7gg
2020-02-20,1,,
2020-02-21,1,,
2020-02-22,1,,
2020-02-23,2,,
2020-02-24,4,4.0,
2020-02-25,37,20.0,
2020-02-26,15,8.0,
2020-02-27,19,12.0,0.6567036699227641
2020-02-28,27,21.0,0.5922778996146408
2020-02-29,27,15.0,0.591662377259988
2020-03-01,43,24.0,0.5976636818914296
2020-03-02,51,28.0,0.5760837580558666
2020-03-03,69,37.0,0.5354735745885403
2020-03-04,73,42.0,0.5383002760453788
2020-03-05,77,37.0,0.520778038343096
2020-03-06,77,38.0,0.5107357235448363
2020-03-07,73,42.0,0.5064000762424371
2020-03-08,62,27.0,0.48886994955585766
2020-03-09,94,45.0,0.5023261157213834
2020-03-10,85,43.0,0.4981517186898436
2020-03-11,95,43.0,0.4922311243086038
2020-03-12,87,50.0,0.5131095217505298
2020-03-13,140,65.0,0.528754077445148
2020-03-14,118,63.0,0.5208254097948818
2020-03-15,98,57.0,0.5301992092570408
2020-03-16,119,70.0,0.5201580856974553
2020-03-17,131,59.0,0.5171956103847496
2020-03-18,137,71.0,0.5044164874361351
2020-03-19,113,57.0,0.49138105348233374
2020-03-20,124,55.0,0.47182278769814395
2020-03-21,99,44.0,0.4824239997760173
2020-03-22,104,51.0,0.4684792491263657
2020-03-23,113,51.0,0.46213285216049965
2020-03-24,122,64.0,0.4603677483681689
2020-03-25,126,53.0,0.44561518067442474
2020-03-26,100,46.0,0.43338336487118034
2020-03-27,109,47.0,0.4372970749607518
2020-03-28,85,29.0,0.4255135177069616
2020-03-29,84,34.0,0.43149424333054437
2020-03-30,94,45.0,0.4372085290448301
2020-03-31,95,42.0,0.43989529182333603
2020-04-01,80,37.0,0.4461008509700716
2020-04-02,98,49.0,0.4636023970430463
2020-04-03,60,27.0,0.46664191072085787
2020-04-04,52,20.0,0.45211623482900054
2020-04-05,55,29.0,0.4665642867770525
2020-04-06,56,28.0,0.4522785724913382
2020-04-07,47,16.0,0.44590791612068176
2020-04-08,55,31.0,0.44723991745268316
2020-04-09,45,18.0,0.41424328445605013
2020-04-10,37,15.0,0.41424328445605013
2020-04-11,33,13.0,0.4296504744780604
2020-04-12,27,8.0,0.406273851101437
2020-04-13,26,13.0,0.4318377608758731
2020-04-14,29,13.0,0.4310655601036723
2020-04-15,30,12.0,0.42580891198988136
2020-04-16,19,11.0,0.40252848870945807
2020-04-17,15,6.0,0.4239570601380295
2020-04-18,14,5.0,0.43684072819411135
2020-04-19,15,2.0,0.46133052411247866
2020-04-20,20,13.0,0.4183062968777251
2020-04-21,13,7.0,0.39413047270190094
2020-04-22,14,8.0,0.45422117564974673
2020-04-23,18,5.0,0.47598988313273993
2020-04-24,13,3.0,0.4148787720216288
2020-04-25,9,7.0,0.3697017268445837
2020-04-26,14,4.0,0.33271193092621637
2020-04-27,9,2.0,0.3216008198151053
2020-04-28,9,2.0,0.33625283446711995
2020-04-29,16,5.0,0.2659580498866211
2020-04-30,10,2.0,0.2727607709750565
2020-05-01,6,2.0,0.2588718820861676
2020-05-02,7,2.0,0.31284013605442157
2020-05-03,3,1.0,0.3039115646258502
2020-05-04,8,1.0,0.2753401360544216
2020-05-05,10,6.0,0.22772108843537398
2020-05-06,8,2.0,0.23452380952380933
2020-05-07,4,0.0,0.25833333333333314
2020-05-08,5,0.0,0.276190476190476
2020-05-09,6,2.0,
2020-05-10,2,1.0,
2020-05-11,4,1.0,
2020-05-12,0,0.0,
2020-05-13,2,0.0,
2020-05-14,2,1.0,
2020-05-15,6,2.0,
2020-05-16,3,0.0,0.19047619047619024
2020-05-17,4,2.0,0.3333333333333331
2020-05-18,2,0.0,0.3095238095238093
2020-05-19,2,0.0,0.2619047619047617
2020-05-20,2,2.0,
2020-05-21,3,1.0,
2020-05-22,1,0.0,
2020-05-23,0,0.0,
2020-05-24,4,1.0,
2020-05-25,3,1.0,
2020-05-26,4,2.0,
2020-05-27,2,1.0,
2020-05-28,0,0.0,
2020-05-29,1,0.0,
2020-05-30,1,0.0,
2020-05-31,1,0.0,
2020-06-01,2,1.0,
2020-06-02,3,0.0,
2020-06-03,1,1.0,
2020-06-04,0,0.0,
2020-06-05,1,0.0,
2020-06-06,2,1.0,
2020-06-07,1,1.0,
2020-06-08,1,0.0,
2020-06-09,3,1.0,
2020-06-10,0,0.0,
2020-06-11,1,1.0,
2020-06-12,0,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,1,0.0,
2020-06-16,1,1.0,
2020-06-17,1,0.0,
2020-06-18,1,1.0,
2020-06-19,0,0.0,
2020-06-20,0,0.0,
2020-06-21,2,0.0,
2020-06-22,0,0.0,
2020-06-23,0,0.0,
2020-06-24,3,0.0,
2020-06-25,0,0.0,
2020-06-26,2,0.0,
2020-06-27,0,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,1,0.0,
2020-07-01,0,0.0,
2020-07-02,0,0.0,
2020-07-03,0,0.0,
2020-07-04,0,0.0,
2020-07-05,0,0.0,
2020-07-06,0,0.0,
2020-07-07,0,0.0,
2020-07-08,0,0.0,
2020-07-09,1,0.0,
2020-07-10,1,0.0,
2020-07-11,0,0.0,
2020-07-12,1,0.0,
2020-07-13,0,0.0,
2020-07-14,1,0.0,
2020-07-15,1,0.0,
2020-07-16,0,0.0,
2020-07-17,0,0.0,
2020-07-18,1,0.0,
2020-07-19,0,0.0,
2020-07-20,0,0.0,
2020-07-21,1,0.0,
2020-07-22,0,0.0,
2020-07-23,1,0.0,
2020-07-24,1,0.0,
2020-07-25,0,0.0,
2020-07-26,0,0.0,
2020-07-27,0,0.0,
2020-07-28,0,0.0,
2020-07-29,0,0.0,
2020-07-30,0,0.0,
2020-07-31,1,0.0,
2020-08-01,0,0.0,
2020-08-02,0,0.0,
2020-08-03,0,0.0,
2020-08-04,0,0.0,
2020-08-05,2,0.0,
2020-08-06,0,0.0,
2020-08-07,1,0.0,
2020-08-08,0,0.0,
2020-08-09,0,0.0,
2020-08-10,0,0.0,
2020-08-11,0,0.0,
2020-08-12,0,0.0,
2020-08-13,0,0.0,
2020-08-14,1,0.0,
2020-08-15,1,0.0,
2020-08-16,0,0.0,
2020-08-17,0,0.0,
2020-08-18,1,0.0,
2020-08-19,2,0.0,
2020-08-20,0,0.0,
2020-08-21,0,0.0,
2020-08-22,0,0.0,
2020-08-23,0,0.0,
2020-08-24,0,0.0,
2020-08-25,0,0.0,
2020-08-26,0,0.0,
2020-08-27,0,0.0,
2020-08-28,0,0.0,
2020-08-29,1,0.0,
2020-08-30,0,0.0,
2020-08-31,2,0.0,
2020-09-01,0,0.0,
2020-09-02,2,1.0,
2020-09-03,0,0.0,
2020-09-04,0,0.0,
2020-09-05,0,0.0,
2020-09-06,1,0.0,
2020-09-07,0,0.0,
2020-09-08,1,0.0,
2020-09-09,3,0.0,
2020-09-10,0,0.0,
2020-09-11,0,0.0,
2020-09-12,2,0.0,
2020-09-13,0,0.0,
2020-09-14,3,1.0,
2020-09-15,2,0.0,
2020-09-16,0,0.0,
2020-09-17,2,0.0,
2020-09-18,0,0.0,
2020-09-19,1,1.0,
2020-09-20,1,0.0,
2020-09-21,0,0.0,
2020-09-22,0,0.0,
