dt_PRELIEVO,positivi,deceduti,deceduti/positivi 7gg
2020-03-02,2,,
2020-03-03,1,,
2020-03-04,4,,
2020-03-05,7,,
2020-03-06,0,,
2020-03-07,0,,
2020-03-08,0,,
2020-03-09,1,1.0,
2020-03-10,0,0.0,
2020-03-11,1,0.0,
2020-03-12,1,0.0,
2020-03-13,0,0.0,
2020-03-14,0,0.0,
2020-03-15,0,0.0,
2020-03-16,4,2.0,
2020-03-17,3,0.0,
2020-03-18,18,2.0,
2020-03-19,4,1.0,0.18455433455433456
2020-03-20,13,3.0,0.13693528693528695
2020-03-21,5,1.0,
2020-03-22,1,0.0,
2020-03-23,6,1.0,
2020-03-24,0,0.0,
2020-03-25,24,3.0,
2020-03-26,12,0.0,
2020-03-27,14,0.0,
2020-03-28,5,0.0,0.032142857142857154
2020-03-29,5,0.0,0.030158730158730163
2020-03-30,10,1.0,0.030158730158730163
2020-03-31,17,0.0,0.04398361495135689
2020-04-01,9,1.0,0.06303123399897594
2020-04-02,7,0.0,
2020-04-03,31,3.0,
2020-04-04,15,2.0,
2020-04-05,0,0.0,
2020-04-06,0,0.0,
2020-04-07,2,0.0,
2020-04-08,8,0.0,
2020-04-09,10,0.0,
2020-04-10,7,0.0,
2020-04-11,6,0.0,
2020-04-12,0,0.0,
2020-04-13,1,0.0,
2020-04-14,5,0.0,
2020-04-15,12,1.0,
2020-04-16,4,0.0,
2020-04-17,1,0.0,
2020-04-18,2,0.0,
2020-04-19,0,0.0,
2020-04-20,1,0.0,
2020-04-21,3,1.0,
2020-04-22,4,0.0,
2020-04-23,1,0.0,
2020-04-24,3,0.0,
2020-04-25,3,0.0,
2020-04-26,0,0.0,
2020-04-27,1,0.0,
2020-04-28,0,0.0,
2020-04-29,2,0.0,
2020-04-30,1,0.0,
2020-05-01,0,0.0,
2020-05-02,0,0.0,
2020-05-03,0,0.0,
2020-05-04,1,0.0,
2020-05-05,3,0.0,
2020-05-06,1,0.0,
2020-05-07,25,0.0,7.93016446160826e-18
2020-05-08,30,0.0,7.93016446160826e-18
2020-05-09,11,0.0,7.93016446160826e-18
2020-05-10,12,0.0,7.93016446160826e-18
