dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 7gg
2020-03-02,1,1.0,
2020-03-03,1,0.0,
2020-03-04,1,0.0,
2020-03-05,2,0.0,
2020-03-06,0,0.0,
2020-03-07,2,1.0,
2020-03-08,4,1.0,
2020-03-09,5,1.0,
2020-03-10,4,2.0,0.2921768707482993
2020-03-11,4,0.0,0.2564625850340136
2020-03-12,7,3.0,0.2564625850340136
2020-03-13,12,2.0,0.28283621140764
2020-03-14,4,1.0,0.2542647828362114
2020-03-15,12,3.0,0.2971219256933542
2020-03-16,13,5.0,0.27349142085984185
2020-03-17,20,6.0,0.2655549129233339
2020-03-18,20,6.0,0.2933326907011117
2020-03-19,19,5.0,0.2844041192725402
2020-03-20,18,2.0,0.24244607731449827
2020-03-21,9,4.0,0.22339845826687924
2020-03-22,16,3.0,0.20094947867504248
2020-03-23,11,1.0,0.19396773861059563
2020-03-24,24,4.0,0.1860312306740877
2020-03-25,14,2.0,0.1493248814677385
2020-03-26,14,3.0,0.1225391671820242
2020-03-27,18,1.0,0.13336167800453505
2020-03-28,16,3.0,0.10955215419501123
2020-03-29,5,0.0,0.1129535147392289
2020-03-30,6,1.0,0.11805555555555544
2020-03-31,6,0.0,0.11011904761904749
2020-04-01,6,1.0,0.13095238095238085
2020-04-02,8,2.0,0.13095238095238085
2020-04-03,3,0.0,0.15476190476190463
2020-04-04,3,1.0,0.2119047619047618
2020-04-05,3,0.0,
2020-04-06,3,1.0,
2020-04-07,5,2.0,
2020-04-08,0,0.0,
2020-04-09,3,1.0,
2020-04-10,2,2.0,
2020-04-11,2,0.0,
2020-04-12,1,0.0,0.33333333333333315
2020-04-13,1,1.0,
2020-04-14,1,0.0,
2020-04-15,3,0.0,
2020-04-16,0,0.0,
2020-04-17,3,0.0,
2020-04-18,1,0.0,
2020-04-19,5,0.0,
2020-04-20,3,1.0,
2020-04-21,0,0.0,
2020-04-22,2,0.0,
2020-04-23,3,1.0,
2020-04-24,1,1.0,
2020-04-25,1,0.0,
2020-04-26,1,0.0,
2020-04-27,0,0.0,
2020-04-28,4,0.0,
2020-04-29,1,0.0,
2020-04-30,1,0.0,
2020-05-01,0,0.0,
2020-05-02,0,0.0,
2020-05-03,0,0.0,
2020-05-04,0,0.0,
2020-05-05,2,0.0,
2020-05-06,0,0.0,
2020-05-07,0,0.0,
2020-05-08,0,0.0,
2020-05-09,1,0.0,
2020-05-10,0,0.0,
2020-05-11,0,0.0,
2020-05-12,0,0.0,
2020-05-13,0,0.0,
2020-05-14,1,0.0,
2020-05-15,1,0.0,
2020-05-16,0,0.0,
2020-05-17,0,0.0,
2020-05-18,1,0.0,
2020-05-19,0,0.0,
2020-05-20,0,0.0,
2020-05-21,0,0.0,
2020-05-22,0,0.0,
2020-05-23,0,0.0,
2020-05-24,0,0.0,
2020-05-25,1,0.0,
2020-05-26,0,0.0,
2020-05-27,0,0.0,
2020-05-28,0,0.0,
2020-05-29,0,0.0,
2020-05-30,0,0.0,
2020-05-31,0,0.0,
2020-06-01,0,0.0,
2020-06-02,0,0.0,
2020-06-03,0,0.0,
2020-06-04,0,0.0,
2020-06-05,0,0.0,
2020-06-06,0,0.0,
2020-06-07,0,0.0,
2020-06-08,1,0.0,
2020-06-09,1,1.0,
2020-06-10,0,0.0,
2020-06-11,1,0.0,
2020-06-12,0,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,0,0.0,
2020-06-16,0,0.0,
2020-06-17,0,0.0,
2020-06-18,0,0.0,
2020-06-19,0,0.0,
2020-06-20,0,0.0,
2020-06-21,0,0.0,
2020-06-22,0,0.0,
2020-06-23,0,0.0,
2020-06-24,0,0.0,
2020-06-25,0,0.0,
2020-06-26,0,0.0,
2020-06-27,0,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,1,0.0,
2020-07-01,0,0.0,
2020-07-02,1,0.0,
2020-07-03,1,0.0,
2020-07-04,0,0.0,
2020-07-05,0,0.0,
2020-07-06,0,0.0,
2020-07-07,0,0.0,
2020-07-08,0,0.0,
2020-07-09,0,0.0,
2020-07-10,1,0.0,
2020-07-11,0,0.0,
2020-07-12,0,0.0,
2020-07-13,0,0.0,
2020-07-14,1,0.0,
2020-07-15,1,0.0,
2020-07-16,0,0.0,
2020-07-17,0,0.0,
2020-07-18,0,0.0,
2020-07-19,0,0.0,
2020-07-20,0,0.0,
2020-07-21,0,0.0,
2020-07-22,0,0.0,
2020-07-23,1,0.0,
2020-07-24,0,0.0,
2020-07-25,0,0.0,
2020-07-26,0,0.0,
2020-07-27,0,0.0,
2020-07-28,0,0.0,
2020-07-29,0,0.0,
2020-07-30,0,0.0,
2020-07-31,3,0.0,
2020-08-01,0,0.0,
2020-08-02,1,0.0,
2020-08-03,0,0.0,
2020-08-04,0,0.0,
2020-08-05,2,0.0,
2020-08-06,0,0.0,
2020-08-07,2,0.0,
2020-08-08,0,0.0,
2020-08-09,0,0.0,
2020-08-10,1,0.0,
2020-08-11,1,0.0,
2020-08-12,1,1.0,
2020-08-13,0,0.0,
2020-08-14,1,0.0,
2020-08-15,0,0.0,
2020-08-16,0,0.0,
2020-08-17,0,0.0,
2020-08-18,2,0.0,
2020-08-19,0,0.0,
2020-08-20,0,0.0,
2020-08-21,2,1.0,
2020-08-22,0,0.0,
2020-08-23,0,0.0,
2020-08-24,1,0.0,
2020-08-25,1,0.0,
2020-08-26,1,1.0,
2020-08-27,0,0.0,
2020-08-28,0,0.0,
2020-08-29,0,0.0,
2020-08-30,1,0.0,
2020-08-31,0,0.0,
2020-09-01,0,0.0,
2020-09-02,1,0.0,
2020-09-03,3,0.0,
2020-09-04,1,0.0,
2020-09-05,1,0.0,
2020-09-06,0,0.0,
2020-09-07,1,0.0,
2020-09-08,3,1.0,
2020-09-09,0,0.0,
2020-09-10,4,1.0,
2020-09-11,1,0.0,
2020-09-12,1,0.0,
2020-09-13,1,0.0,0.06428571428571411
2020-09-14,5,1.0,0.028571428571428397
2020-09-15,2,0.0,0.028571428571428397
2020-09-16,1,0.0,0.028571428571428397
2020-09-17,4,0.0,0.028571428571428397
2020-09-18,4,0.0,
2020-09-19,1,0.0,
2020-09-20,2,0.0,
2020-09-21,0,0.0,
2020-09-22,4,0.0,
2020-09-23,1,0.0,
2020-09-24,2,0.0,
2020-09-25,2,0.0,0.08333333333333316
2020-09-26,2,0.0,0.22619047619047603
2020-09-27,3,1.0,0.22619047619047603
2020-09-28,4,1.0,0.31190476190476174
2020-09-29,1,1.0,0.3595238095238094
2020-09-30,2,0.0,0.3952380952380951
2020-10-01,5,3.0,0.34761904761904744
2020-10-02,3,1.0,0.3357142857142855
2020-10-03,4,1.0,0.22142857142857128
2020-10-04,3,0.0,0.26904761904761887
2020-10-05,6,1.0,0.21190476190476173
2020-10-06,5,1.0,0.1902597402597401
2020-10-07,6,2.0,0.18629148629148615
2020-10-08,5,1.0,0.1992784992784991
2020-10-09,11,2.0,0.18845598845598827
2020-10-10,9,2.0,0.1858585858585857
2020-10-11,11,1.0,0.1858585858585857
2020-10-12,11,1.0,0.19455423803249874
2020-10-13,11,2.0,0.19000878348704417
2020-10-14,12,4.0,0.20027955846370155
2020-10-15,23,6.0,0.21903857722272033
2020-10-16,20,3.0,0.23462299280713592
2020-10-17,17,5.0,0.24039499857914165
2020-10-18,18,4.0,0.22452198270612578
2020-10-19,25,5.0,0.24082633053221272
2020-10-20,27,6.0,0.27041816726690665
2020-10-21,18,4.0,0.2673623995052565
2020-10-22,24,9.0,0.26686636775922473
2020-10-23,28,10.0,0.2659447087730496
2020-10-24,22,6.0,0.2652545776481358
2020-10-25,32,7.0,0.2677942601878184
2020-10-26,31,6.0,0.24527873223750785
2020-10-27,23,5.0,0.22531422469536055
2020-10-28,25,6.0,0.2426302420113779
2020-10-29,23,5.0,0.26376119439233026
2020-10-30,23,5.0,0.28140759205446353
2020-10-31,33,13.0,0.3005447416263957
2020-11-01,30,11.0,0.30027263278285826
2020-11-02,41,13.0,0.30563129798807076
2020-11-03,37,13.0,0.31353643632799166
2020-11-04,42,10.0,0.29927618677362444
2020-11-05,51,13.0,0.2699367090470499
2020-11-06,44,12.0,0.28255559971472105
2020-11-07,34,10.0,0.27998159714071846
2020-11-08,31,5.0,0.2618410075715575
2020-11-09,37,15.0,0.2703244009289004
2020-11-10,42,14.0,0.2844245864576574
2020-11-11,36,4.0,0.2832241062655806
2020-11-12,35,11.0,0.278615811334705
2020-11-13,35,13.0,0.2603832931021868
2020-11-14,28,8.0,0.23797432951675263
2020-11-15,31,4.0,0.2669992728274102
2020-11-16,36,10.0,0.25067274221516533
2020-11-17,34,6.0,0.2320942763460591
2020-11-18,35,11.0,0.24169811788267376
2020-11-19,30,6.0,0.2683777201140587
2020-11-20,29,7.0,0.2659622611768606
2020-11-21,17,6.0,0.27340523836773695
2020-11-22,19,6.0,0.2761263268031111
2020-11-23,23,6.0,0.2735289242057085
2020-11-24,35,8.0,0.28415894753990606
2020-11-25,27,9.0,0.29585058071491516
2020-11-26,22,4.0,0.2880048795053695
2020-11-27,19,6.0,0.28969883772106686
2020-11-28,23,10.0,0.30466482411562473
2020-11-29,23,6.0,0.28425666085031864
2020-11-30,22,6.0,0.2786907981415988
2020-12-01,18,6.0,0.28459842434997684
2020-12-02,21,4.0,0.23677233739345513
2020-12-03,21,3.0,0.24461803860300071
2020-12-04,28,10.0,0.21926244181883248
2020-12-05,20,2.0,0.25327604726100933
2020-12-06,19,6.0,0.28196578402528033
2020-12-07,21,2.0,0.285367144569498
2020-12-08,14,8.0,0.2343467364062327
2020-12-09,23,9.0,0.2506732670184776
2020-12-10,18,3.0,0.2341319136350189
2020-12-11,6,0.0,0.24650049743217414
2020-12-12,14,3.0,0.20382888333198862
2020-12-13,10,2.0,0.16221397649969052
2020-12-14,11,2.0,0.16437847866419267
2020-12-15,11,3.0,0.22931354359925762
2020-12-16,20,2.0,0.21373889268626084
2020-12-17,11,2.0,0.2371155160628842
2020-12-18,11,5.0,0.23257006151742962
2020-12-19,19,2.0,0.2025375939849621
2020-12-20,11,4.0,0.26444235588972403
2020-12-21,20,3.0,0.2860873775347457
2020-12-22,16,1.0,0.23305707450444269
2020-12-23,15,8.0,0.22992424242424217
2020-12-24,24,8.0,0.20805137844611504
2020-12-25,12,1.0,0.2172350519155028
2020-12-26,12,1.0,0.26093805943429976
2020-12-27,19,4.0,0.2228428213390617
2020-12-28,14,3.0,0.20200948800572838
2020-12-29,19,7.0,0.2276987110633725
2020-12-30,30,8.0,0.23365109201575346
2020-12-31,16,3.0,0.2321473326172572
2021-01-01,19,5.0,0.25195525578652495
2021-01-02,16,2.0,0.2519552557865249
2021-01-03,15,3.0,0.2528210566523258
2021-01-04,17,6.0,0.27645551043383837
2021-01-05,19,7.0,0.30008601526735074
2021-01-06,11,3.0,0.31284111730816705
2021-01-07,17,6.0,0.3352900969000038
2021-01-08,28,12.0,0.32296516692801497
2021-01-09,14,3.0,0.3154463699355338
2021-01-10,14,5.0,0.31616787065703456
2021-01-11,15,4.0,0.2825544252788833
2021-01-12,19,6.0,0.26334674220565396
2021-01-13,18,5.0,0.2831546653749217
2021-01-14,17,2.0,0.2697282421740624
2021-01-15,17,5.0,0.2568430881124377
2021-01-16,17,6.0,0.2688731633004076
2021-01-17,19,5.0,0.27464516907241343
2021-01-18,17,3.0,0.3054574940023854
2021-01-19,25,10.0,0.3124202791164311
2021-01-20,22,7.0,0.280633651421875
2021-01-21,30,10.0,0.2799060259064737
2021-01-22,35,12.0,0.28743403711095544
2021-01-23,23,3.0,0.2838626085395269
2021-01-24,31,8.0,0.28766914682882383
2021-01-25,48,11.0,0.2783776253421804
2021-01-26,24,9.0,0.2666651142507873
2021-01-27,29,10.0,0.27367259951914213
2021-01-28,41,11.0,0.266362890318443
2021-01-29,23,6.0,0.2824052828852258
2021-01-30,39,7.0,0.27794099717094006
2021-01-31,29,6.0,0.2643941991413834
2021-02-01,41,14.0,0.26742005646762584
2021-02-02,32,11.0,0.27777202334133183
2021-02-03,28,7.0,0.28867584819864506
2021-02-04,38,11.0,0.30533768534729766
2021-02-05,36,12.0,0.29318723417245623
2021-02-06,43,11.0,0.29646104369626575
2021-02-07,34,11.0,0.3132248920927672
2021-02-08,39,10.0,0.29091912768173966
2021-02-09,30,11.0,0.27626711302972506
2021-02-10,49,18.0,0.27543654824567193
2021-02-11,30,4.0,0.2595210911537442
2021-02-12,39,9.0,0.2523028192295899
2021-02-13,28,7.0,0.25218667521100685
2021-02-14,33,7.0,0.24217958357126218
2021-02-15,34,7.0,0.25438196452364314
2021-02-16,41,15.0,0.24820064584232446
2021-02-17,37,11.0,0.23846038610206471
2021-02-18,32,7.0,0.2246408722825509
2021-02-19,32,6.0,0.22697513932270033
2021-02-20,33,6.0,0.1977518056147089
2021-02-21,26,3.0,0.1952807631436664
2021-02-22,36,8.0,0.192602191715095
2021-02-23,31,5.0,0.20663280395999292
2021-02-24,25,7.0,0.20050004782723677
2021-02-25,25,5.0,0.215762563089752
2021-02-26,28,8.0,0.20952673542535294
2021-02-27,36,5.0,0.2170975056689342
2021-02-28,27,6.0,0.21158026428962387
2021-03-01,28,5.0,0.20821891975180876
2021-03-02,28,6.0,0.19121211703072033
2021-03-03,29,7.0,0.1927994186180219
2021-03-04,34,6.0,0.18656359095362282
2021-03-05,30,5.0,0.18303140885001215
2021-03-06,20,3.0,0.15674816828105728
2021-03-07,28,5.0,0.15559874299370097
2021-03-08,26,4.0,0.14467437324580182
2021-03-09,33,1.0,0.14731987589130444
2021-03-10,30,7.0,0.14269802715180865
2021-03-11,30,3.0,0.14694972783208077
2021-03-12,27,5.0,0.1618380653010634
2021-03-13,34,4.0,0.17983048954348765
2021-03-14,24,5.0,0.18011060158830558
2021-03-15,31,8.0,0.17824724755103846
2021-03-16,32,5.0,0.17642276296793322
2021-03-17,34,8.0,0.17675889742171474
2021-03-18,23,2.0,0.15540035400434782
2021-03-19,29,5.0,0.13758161360496227
2021-03-20,25,3.0,0.11526018503353368
2021-03-21,17,1.0,0.09950388251252527
2021-03-22,30,4.0,0.1042243794069352
2021-03-23,23,0.0,0.10604886399004046
2021-03-24,24,3.0,0.12187303981421628
2021-03-25,25,3.0,0.1302764011587541
2021-03-26,27,5.0,0.14524238755331192
2021-03-27,26,6.0,0.16809953041045475
2021-03-28,17,2.0,0.15976619707712142
2021-03-29,21,5.0,0.17269852790418908
2021-03-30,25,4.0,0.1768557463471218
2021-03-31,15,1.0,0.1763562458476213
2021-04-01,19,4.0,0.17995768642385176
2021-04-02,28,6.0,0.17451550955310347
2021-04-03,22,5.0,0.1841258991634931
2021-04-04,14,2.0,0.17460208963968357
2021-04-05,15,3.0,0.15956449565472114
2021-04-06,22,5.0,0.15038082218533338
2021-04-07,14,0.0,0.1398913116958229
2021-04-08,19,2.0,0.1551974341448025
2021-04-09,20,3.0,0.13502936691791173
2021-04-10,13,2.0,0.11355084543939024
2021-04-11,12,3.0,0.11355084543939024
2021-04-12,17,1.0,0.09851325145442784
2021-04-13,13,1.0,0.12470372764490403
2021-04-14,12,0.0,0.12528209664432566
2021-04-15,12,0.0,0.13352385488608393
2021-04-16,9,3.0,0.1251204935415461
2021-04-17,19,3.0,0.1284171968382494
2021-04-18,13,4.0,0.15039521881627138
2021-04-19,6,0.0,0.15039521881627138
2021-04-20,10,1.0,0.10277617119722378
2021-04-21,13,2.0,0.08021978021978016
