giorni,casi
247.0,1
248.0,3
249.0,1
250.0,1
251.0,2
252.0,0
253.0,0
254.0,1
255.0,0
256.0,1
257.0,0
258.0,1
259.0,0
260.0,1
261.0,1
262.0,2
263.0,0
264.0,1
265.0,0
266.0,0
267.0,2
268.0,1
269.0,0
270.0,1
271.0,1
272.0,1
273.0,0
274.0,0
275.0,1
276.0,1
277.0,0
278.0,0
279.0,0
280.0,0
281.0,0
282.0,0
283.0,0
284.0,0
285.0,0
286.0,0
287.0,0
288.0,1
289.0,1
290.0,0
291.0,1
292.0,1
293.0,0
294.0,1
295.0,0
296.0,1
297.0,0
298.0,1
299.0,0
300.0,0
301.0,0
302.0,0
303.0,1
304.0,0
305.0,0
306.0,0
307.0,0
308.0,0
309.0,1
310.0,2
311.0,3
312.0,1
313.0,1
314.0,0
315.0,0
316.0,0
317.0,1
318.0,0
319.0,1
320.0,1
321.0,1
322.0,1
323.0,0
324.0,0
325.0,0
326.0,1
327.0,0
328.0,0
329.0,0
330.0,0
331.0,0
332.0,0
333.0,0
334.0,1
335.0,0
336.0,0
337.0,1
338.0,0
339.0,1
340.0,1
341.0,0
342.0,0
343.0,1
344.0,0
345.0,0
346.0,1
347.0,0
348.0,1
349.0,0
350.0,0
351.0,0
352.0,0
353.0,0
354.0,0
355.0,0
356.0,1
357.0,0
358.0,0
359.0,0
360.0,0
361.0,0
362.0,0
363.0,0
364.0,0
365.0,1
366.0,0
367.0,0
368.0,0
369.0,0
370.0,1
371.0,0
372.0,0
373.0,0
374.0,1
375.0,0
376.0,0
377.0,0
378.0,1
379.0,0
380.0,1
381.0,0
382.0,0
383.0,0
384.0,0
385.0,0
386.0,0
387.0,1
388.0,0
389.0,0
390.0,0
391.0,0
392.0,0
393.0,0
394.0,0
395.0,0
396.0,0
397.0,0
398.0,1
399.0,0
400.0,0
401.0,0
402.0,0
403.0,0
404.0,0
405.0,0
406.0,0
407.0,0
408.0,0
409.0,0
410.0,0
411.0,0
