dt_RICOVERO,ricoveri,terapia intensiva,terapia intensiva/ricoveri 7gg
2020-02-20,1,,
2020-02-21,0,,
2020-02-22,0,,
2020-02-23,1,,
2020-02-24,4,,
2020-02-25,0,,
2020-02-26,0,,
2020-02-27,3,,
2020-02-28,0,,
2020-02-29,1,,
2020-03-01,5,,
2020-03-02,0,,
2020-03-03,3,,
2020-03-04,6,,
2020-03-05,9,1.0,
2020-03-06,8,0.0,
2020-03-07,6,3.0,
2020-03-08,9,2.0,0.2085714285714286
2020-03-09,25,4.0,0.22973544973544976
2020-03-10,18,3.0,0.24904046904046906
2020-03-11,30,9.0,0.2230664430664431
2020-03-12,27,7.0,0.21653049535402483
2020-03-13,37,5.0,0.2275079389630474
2020-03-14,22,7.0,0.23666544812055657
2020-03-15,34,6.0,0.2127158682886238
2020-03-16,38,9.0,0.209292276629738
2020-03-17,52,12.0,0.20903487637233775
2020-03-18,68,9.0,0.1925658381641691
2020-03-19,68,16.0,0.19332978010458166
2020-03-20,75,10.0,0.18766420772292328
2020-03-21,69,14.0,0.18583270589142145
2020-03-22,55,10.0,0.18988432653968076
2020-03-23,71,14.0,0.1842211917205357
2020-03-24,78,17.0,0.17724600728056256
2020-03-25,56,9.0,0.1694245211982069
2020-03-26,46,9.0,0.1593235110971968
2020-03-27,71,6.0,0.15347592558411832
2020-03-28,54,8.0,0.130743755793125
2020-03-29,45,5.0,0.12819273538496176
2020-03-30,32,5.0,0.11406730961858227
2020-03-31,34,2.0,0.12104249405855545
2020-04-01,35,5.0,0.11773561575167714
2020-04-02,31,3.0,0.12227076314396738
2020-04-03,30,4.0,0.13566362028682452
2020-04-04,32,4.0,0.1327547644367922
2020-04-05,21,3.0,0.124251363076248
2020-04-06,24,6.0,0.11042647828362127
2020-04-07,26,1.0,0.09137885923600222
2020-04-08,24,2.0,0.09733124018838317
2020-04-09,19,0.0,0.08532643826761488
2020-04-10,19,0.0,0.04961215255332917
2020-04-11,18,3.0,0.04411764705882367
2020-04-12,17,1.0,0.04411764705882367
2020-04-13,12,0.0,0.0530462184873951
2020-04-14,16,0.0,0.0530462184873951
2020-04-15,12,1.0,0.029236694677871294
2020-04-16,16,1.0,0.02083333333333348
2020-04-17,14,0.0,0.02083333333333348
2020-04-18,11,0.0,0.02083333333333348
2020-04-19,8,0.0,0.008928571428571577
2020-04-20,8,0.0,1.4869058365515488e-16
2020-04-21,9,0.0,0.012987012987013135
2020-04-22,8,0.0,0.05380333951762538
2020-04-23,8,0.0,0.08951762523191109
2020-04-24,11,1.0,0.1133271490414349
2020-04-25,7,2.0,0.1133271490414349
2020-04-26,4,1.0,0.1133271490414349
2020-04-27,6,1.0,0.1490414347557206
2020-04-28,7,0.0,0.1360544217687076
2020-04-29,2,0.0,0.09523809523809537
2020-04-30,4,1.0,0.05952380952380966
2020-05-01,3,0.0,0.03571428571428586
2020-05-02,2,0.0,0.03571428571428586
2020-05-03,3,0.0,0.03571428571428586
2020-05-04,1,0.0,
2020-05-05,5,0.0,
2020-05-06,2,0.0,
2020-05-07,0,0.0,
2020-05-08,2,0.0,
2020-05-09,4,0.0,
2020-05-10,2,0.0,
2020-05-11,2,0.0,0.03571428571428586
2020-05-12,1,0.0,0.03571428571428586
2020-05-13,4,1.0,0.03571428571428586
2020-05-14,4,0.0,0.03571428571428586
2020-05-15,1,0.0,0.03571428571428586
2020-05-16,1,0.0,0.08333333333333348
2020-05-17,2,0.0,0.04761904761904777
2020-05-18,1,0.0,0.09523809523809537
2020-05-19,3,1.0,0.09523809523809537
2020-05-20,2,0.0,0.09523809523809537
2020-05-21,3,1.0,
2020-05-22,1,0.0,
2020-05-23,2,0.0,
2020-05-24,0,0.0,
2020-05-25,2,0.0,
2020-05-26,0,0.0,
2020-05-27,1,0.0,
2020-05-28,0,0.0,
2020-05-29,1,0.0,
2020-05-30,0,0.0,
2020-05-31,0,0.0,
2020-06-01,1,0.0,
2020-06-02,0,0.0,
2020-06-03,2,0.0,
2020-06-04,1,0.0,
2020-06-05,0,0.0,
2020-06-06,0,0.0,
2020-06-07,1,0.0,
2020-06-08,2,0.0,
2020-06-09,0,0.0,
2020-06-10,0,0.0,
2020-06-11,1,0.0,
2020-06-12,2,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,0,0.0,
2020-06-16,0,0.0,
2020-06-17,0,0.0,
2020-06-18,2,0.0,
2020-06-19,0,0.0,
2020-06-20,1,0.0,
2020-06-21,0,0.0,
2020-06-22,1,0.0,
2020-06-23,0,0.0,
2020-06-24,0,0.0,
2020-06-25,2,0.0,
2020-06-26,2,0.0,
2020-06-27,1,0.0,
2020-06-28,0,0.0,
2020-06-29,1,0.0,
2020-06-30,0,0.0,
2020-07-01,0,0.0,
2020-07-02,0,0.0,
2020-07-03,1,0.0,
2020-07-04,0,0.0,
2020-07-05,0,0.0,
2020-07-06,3,0.0,
2020-07-07,0,0.0,
