dt_RICOVERO,ricoveri,terapia intensiva,terapia intensiva/ricoveri 7gg
2020-02-21,1,,
2020-02-22,0,,
2020-02-23,1,,
2020-02-24,1,,
2020-02-25,3,,
2020-02-26,0,,
2020-02-27,1,,
2020-02-28,0,,
2020-02-29,0,,
2020-03-01,3,1.0,
2020-03-02,7,0.0,
2020-03-03,7,0.0,
2020-03-04,7,0.0,0.10476190476190475
2020-03-05,7,0.0,0.08571428571428573
2020-03-06,10,3.0,0.1142857142857143
2020-03-07,10,1.0,0.1285714285714286
2020-03-08,10,2.0,0.15714285714285717
2020-03-09,10,2.0,0.17301587301587304
2020-03-10,10,1.0,0.153968253968254
2020-03-11,15,3.0,0.1547201336675021
2020-03-12,18,2.0,0.17376775271512113
2020-03-13,24,4.0,0.1898391812865497
2020-03-14,19,2.0,0.20018400887275659
2020-03-15,27,9.0,0.19725360594235367
2020-03-16,16,5.0,0.19961767213620707
2020-03-17,29,5.0,0.19778617030470522
2020-03-18,39,7.0,0.2113200048911714
2020-03-19,47,6.0,0.1937761452420486
2020-03-20,39,6.0,0.16137818605837512
2020-03-21,20,4.0,0.15103335847216823
2020-03-22,19,4.0,0.1378146930795898
2020-03-23,35,3.0,0.12529189672700622
2020-03-24,30,3.0,0.12301830824652119
2020-03-25,23,2.0,0.0944468796750926
2020-03-26,25,1.0,0.0881812155146916
2020-03-27,29,4.0,0.08784107946026984
2020-03-28,20,0.0,0.08107416216703676
2020-03-29,6,1.0,0.08650894477573241
2020-03-30,12,1.0,0.0903184685852562
2020-03-31,19,1.0,0.09102219835302537
2020-04-01,16,2.0,0.11959362692445394
2020-04-02,15,1.0,0.11959362692445395
2020-04-03,7,1.0,0.13149838882921586
2020-04-04,10,2.0,0.13496860282574566
2020-04-05,6,1.0,0.1171114599686028
2020-04-06,6,1.0,0.10758765044479326
2020-04-07,13,1.0,0.09610805860805859
2020-04-08,10,0.0,0.09134615384615381
2020-04-09,6,0.0,0.06753663003663
2020-04-10,16,1.0,0.10495159602302455
2020-04-11,12,2.0,0.1143707482993197
2020-04-12,8,0.0,0.1143707482993197
2020-04-13,7,3.0,0.1143707482993197
2020-04-14,7,1.0,0.1258503401360544
2020-04-15,6,0.0,0.10204081632653059
2020-04-16,2,0.0,0.10204081632653059
2020-04-17,7,1.0,0.04081632653061222
2020-04-18,5,0.0,0.020408163265306097
2020-04-19,2,0.0,0.03061224489795916
2020-04-20,6,0.0,0.03061224489795916
2020-04-21,1,0.0,0.010204081632653036
2020-04-22,14,1.0,0.010204081632653036
2020-04-23,4,0.0,0.010204081632653036
2020-04-24,1,0.0,0.010204081632653036
2020-04-25,9,0.0,0.010204081632653036
2020-04-26,1,0.0,0.0
2020-04-27,6,0.0,0.0
2020-04-28,3,0.0,0.0
2020-04-29,5,0.0,0.0
2020-04-30,3,0.0,0.0
2020-05-01,1,0.0,
2020-05-02,3,0.0,
2020-05-03,1,0.0,
2020-05-04,0,0.0,
2020-05-05,2,1.0,
2020-05-06,4,1.0,
2020-05-07,4,1.0,
2020-05-08,6,1.0,0.16666666666666666
2020-05-09,2,0.0,
2020-05-10,1,0.0,
2020-05-11,1,0.0,
2020-05-12,0,0.0,
2020-05-13,4,0.0,
2020-05-14,6,0.0,
2020-05-15,9,0.0,
2020-05-16,5,0.0,
2020-05-17,0,0.0,
2020-05-18,2,0.0,
2020-05-19,0,0.0,
2020-05-20,1,0.0,
2020-05-21,2,0.0,
2020-05-22,0,0.0,
2020-05-23,1,0.0,
2020-05-24,0,0.0,
2020-05-25,1,0.0,
2020-05-26,1,1.0,
2020-05-27,3,1.0,
2020-05-28,1,0.0,0.19047619047619047
2020-05-29,2,0.0,0.19047619047619047
2020-05-30,2,0.0,0.19047619047619044
2020-05-31,1,0.0,0.19047619047619044
2020-06-01,1,0.0,0.19047619047619044
2020-06-02,1,1.0,0.19047619047619044
2020-06-03,3,1.0,0.19047619047619044
2020-06-04,1,0.0,
2020-06-05,1,0.0,
2020-06-06,1,0.0,
2020-06-07,0,0.0,
2020-06-08,1,0.0,
2020-06-09,0,0.0,
2020-06-10,0,0.0,
2020-06-11,0,0.0,
2020-06-12,1,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,1,0.0,
2020-06-16,1,0.0,
2020-06-17,1,0.0,
2020-06-18,0,0.0,
2020-06-19,2,0.0,
2020-06-20,2,0.0,
2020-06-21,0,0.0,
2020-06-22,0,0.0,
2020-06-23,0,0.0,
2020-06-24,1,0.0,
2020-06-25,1,0.0,
2020-06-26,1,0.0,
2020-06-27,0,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,0,0.0,
2020-07-01,1,0.0,
2020-07-02,0,0.0,
2020-07-03,3,0.0,
2020-07-04,0,0.0,
2020-07-05,2,0.0,
2020-07-06,0,0.0,
2020-07-07,1,0.0,
2020-07-08,1,0.0,
2020-07-09,0,0.0,
2020-07-10,0,0.0,
2020-07-11,0,0.0,
2020-07-12,0,0.0,
2020-07-13,1,0.0,
2020-07-14,1,0.0,
2020-07-15,1,1.0,
2020-07-16,3,1.0,
2020-07-17,0,0.0,
2020-07-18,0,0.0,
2020-07-19,0,0.0,
2020-07-20,0,0.0,
2020-07-21,2,0.0,
2020-07-22,1,0.0,
2020-07-23,2,0.0,
2020-07-24,0,0.0,
2020-07-25,1,0.0,
2020-07-26,0,0.0,
2020-07-27,0,0.0,
2020-07-28,1,0.0,
2020-07-29,1,0.0,
2020-07-30,0,0.0,
2020-07-31,0,0.0,
2020-08-01,3,2.0,
2020-08-02,0,0.0,
2020-08-03,0,0.0,
2020-08-04,1,0.0,
2020-08-05,4,1.0,
2020-08-06,2,0.0,
2020-08-07,1,0.0,
2020-08-08,0,0.0,
2020-08-09,0,0.0,
2020-08-10,0,0.0,
2020-08-11,0,0.0,
2020-08-12,0,0.0,
2020-08-13,1,0.0,
2020-08-14,2,0.0,
2020-08-15,2,0.0,
2020-08-16,0,0.0,
2020-08-17,0,0.0,
2020-08-18,1,0.0,
2020-08-19,3,0.0,
2020-08-20,0,0.0,
2020-08-21,1,0.0,
2020-08-22,1,0.0,
2020-08-23,3,0.0,
