data,≥80 anni,altri
2020-02-20,3,3
2020-02-21,0,2
2020-02-22,0,3
2020-02-23,0,4
2020-02-24,1,9
2020-02-25,9,37
2020-02-26,3,16
2020-02-27,4,22
2020-02-28,5,35
2020-02-29,5,43
2020-03-01,9,48
2020-03-02,6,72
2020-03-03,9,84
2020-03-04,6,101
2020-03-05,7,102
2020-03-06,13,128
2020-03-07,3,122
2020-03-08,9,109
2020-03-09,9,150
2020-03-10,7,149
2020-03-11,9,181
2020-03-12,14,184
2020-03-13,13,235
2020-03-14,14,212
2020-03-15,15,203
2020-03-16,7,232
2020-03-17,14,271
2020-03-18,15,295
2020-03-19,15,259
2020-03-20,11,277
2020-03-21,18,231
2020-03-22,17,278
2020-03-23,22,303
2020-03-24,21,285
2020-03-25,26,314
2020-03-26,20,225
2020-03-27,19,245
2020-03-28,15,185
2020-03-29,12,182
2020-03-30,15,208
2020-03-31,16,174
2020-04-01,17,175
2020-04-02,18,170
2020-04-03,13,133
2020-04-04,14,112
2020-04-05,6,93
2020-04-06,14,114
2020-04-07,33,105
2020-04-08,25,117
2020-04-09,39,114
2020-04-10,23,89
2020-04-11,16,72
2020-04-12,14,54
2020-04-13,8,47
2020-04-14,18,61
2020-04-15,20,60
2020-04-16,12,62
2020-04-17,18,70
2020-04-18,27,57
2020-04-19,32,52
2020-04-20,38,58
2020-04-21,27,46
2020-04-22,30,62
2020-04-23,30,59
2020-04-24,30,45
2020-04-25,36,42
2020-04-26,25,50
2020-04-27,23,35
2020-04-28,20,37
2020-04-29,17,54
2020-04-30,22,35
2020-05-01,25,28
2020-05-02,16,31
2020-05-03,9,25
2020-05-04,16,25
2020-05-05,11,32
2020-05-06,28,33
2020-05-07,11,24
2020-05-08,18,22
2020-05-09,6,21
2020-05-10,8,13
2020-05-11,13,15
2020-05-12,8,12
2020-05-13,13,18
2020-05-14,13,20
2020-05-15,12,21
2020-05-16,6,19
2020-05-17,10,11
2020-05-18,5,9
2020-05-19,10,12
2020-05-20,2,16
2020-05-21,5,13
2020-05-22,2,11
2020-05-23,8,7
2020-05-24,5,8
2020-05-25,5,11
2020-05-26,10,6
2020-05-27,2,9
2020-05-28,2,4
2020-05-29,10,8
2020-05-30,0,9
2020-05-31,2,5
2020-06-01,3,6
2020-06-02,3,5
2020-06-03,3,2
2020-06-04,4,5
2020-06-05,2,8
2020-06-06,3,8
2020-06-07,3,5
2020-06-08,2,4
2020-06-09,5,5
2020-06-10,4,8
2020-06-11,3,5
2020-06-12,1,5
2020-06-13,3,1
2020-06-14,1,4
2020-06-15,5,3
2020-06-16,2,7
2020-06-17,0,4
2020-06-18,4,6
2020-06-19,5,5
2020-06-20,2,4
2020-06-21,2,3
2020-06-22,2,4
2020-06-23,2,0
2020-06-24,2,8
2020-06-25,3,3
2020-06-26,3,5
2020-06-27,0,2
2020-06-28,1,2
2020-06-29,2,0
2020-06-30,1,6
2020-07-01,1,5
2020-07-02,1,3
2020-07-03,0,0
2020-07-04,1,4
2020-07-05,2,0
2020-07-06,0,2
2020-07-07,0,3
2020-07-08,0,3
2020-07-09,0,3
2020-07-10,2,2
2020-07-11,0,0
2020-07-12,0,2
2020-07-13,3,0
2020-07-14,0,4
2020-07-15,2,1
2020-07-16,1,2
2020-07-17,1,0
2020-07-18,1,1
2020-07-19,0,2
2020-07-20,0,0
2020-07-21,3,2
2020-07-22,0,6
2020-07-23,0,6
2020-07-24,1,3
2020-07-25,2,2
2020-07-26,1,2
2020-07-27,1,3
2020-07-28,1,4
2020-07-29,0,5
2020-07-30,0,5
2020-07-31,0,3
2020-08-01,2,4
2020-08-02,3,0
2020-08-03,2,2
2020-08-04,2,8
2020-08-05,1,3
2020-08-06,1,2
2020-08-07,1,3
2020-08-08,1,5
2020-08-09,0,1
2020-08-10,2,3
2020-08-11,0,4
2020-08-12,0,5
2020-08-13,1,5
2020-08-14,2,8
2020-08-15,2,4
2020-08-16,1,3
2020-08-17,0,6
2020-08-18,2,8
2020-08-19,1,5
2020-08-20,0,6
2020-08-21,1,1
2020-08-22,1,4
2020-08-23,1,7
2020-08-24,2,8
2020-08-25,0,9
2020-08-26,1,7
2020-08-27,1,4
2020-08-28,1,6
2020-08-29,1,7
2020-08-30,2,14
2020-08-31,1,13
2020-09-01,0,11
2020-09-02,3,10
2020-09-03,4,6
2020-09-04,4,7
2020-09-05,3,9
2020-09-06,2,7
2020-09-07,1,12
2020-09-08,1,7
2020-09-09,6,20
2020-09-10,1,9
2020-09-11,3,11
2020-09-12,3,16
2020-09-13,2,9
2020-09-14,1,19
2020-09-15,4,20
2020-09-16,4,12
2020-09-17,3,23
2020-09-18,2,7
2020-09-19,4,19
2020-09-20,4,12
2020-09-21,4,12
2020-09-22,4,14
2020-09-23,3,14
2020-09-24,6,18
2020-09-25,4,14
2020-09-26,5,14
2020-09-27,3,17
2020-09-28,5,21
2020-09-29,8,20
2020-09-30,6,17
2020-10-01,4,21
2020-10-02,5,20
2020-10-03,12,20
2020-10-04,10,27
2020-10-05,5,25
2020-10-06,12,27
2020-10-07,17,47
2020-10-08,9,35
2020-10-09,15,45
2020-10-10,7,40
2020-10-11,9,54
2020-10-12,14,54
2020-10-13,15,65
2020-10-14,18,64
2020-10-15,22,92
2020-10-16,28,78
2020-10-17,30,78
2020-10-18,23,101
2020-10-19,22,102
2020-10-20,28,116
2020-10-21,42,144
2020-10-22,33,124
2020-10-23,37,163
2020-10-24,55,177
2020-10-25,44,159
2020-10-26,56,187
2020-10-27,54,195
2020-10-28,66,215
2020-10-29,60,204
2020-10-30,49,212
2020-10-31,62,234
2020-11-01,52,207
2020-11-02,81,289
2020-11-03,66,292
2020-11-04,70,304
2020-11-05,97,310
2020-11-06,100,293
2020-11-07,70,282
2020-11-08,79,276
2020-11-09,92,289
2020-11-10,79,322
2020-11-11,83,290
2020-11-12,82,300
2020-11-13,77,306
2020-11-14,74,261
2020-11-15,70,255
2020-11-16,91,311
2020-11-17,78,312
2020-11-18,113,319
2020-11-19,94,286
2020-11-20,96,262
2020-11-21,64,217
2020-11-22,75,219
2020-11-23,64,268
2020-11-24,73,272
2020-11-25,80,220
2020-11-26,77,224
2020-11-27,70,216
2020-11-28,58,173
2020-11-29,66,183
2020-11-30,70,161
2020-12-01,72,178
2020-12-02,59,193
2020-12-03,66,194
2020-12-04,58,174
2020-12-05,56,161
2020-12-06,51,137
2020-12-07,65,152
2020-12-08,54,155
2020-12-09,59,170
2020-12-10,57,179
2020-12-11,46,146
2020-12-12,51,132
2020-12-13,56,115
2020-12-14,56,145
2020-12-15,54,149
2020-12-16,30,131
2020-12-17,52,142
2020-12-18,39,125
2020-12-19,34,123
2020-12-20,44,115
2020-12-21,55,140
2020-12-22,52,127
2020-12-23,48,121
2020-12-24,42,132
2020-12-25,38,110
2020-12-26,34,121
2020-12-27,43,119
2020-12-28,29,142
2020-12-29,39,152
2020-12-30,38,150
2020-12-31,35,148
2021-01-01,28,123
2021-01-02,47,141
2021-01-03,33,102
2021-01-04,44,153
2021-01-05,46,137
2021-01-06,40,138
2021-01-07,56,137
2021-01-08,41,151
2021-01-09,40,132
2021-01-10,47,129
2021-01-11,40,153
2021-01-12,43,142
2021-01-13,40,125
2021-01-14,54,124
2021-01-15,33,129
2021-01-16,39,119
2021-01-17,42,121
2021-01-18,51,134
2021-01-19,26,130
2021-01-20,31,130
2021-01-21,50,123
2021-01-22,38,112
2021-01-23,30,127
2021-01-24,35,90
2021-01-25,45,133
2021-01-26,28,110
2021-01-27,25,90
2021-01-28,40,113
2021-01-29,38,92
2021-01-30,31,103
2021-01-31,28,98
2021-02-01,34,129
2021-02-02,38,109
2021-02-03,38,100
2021-02-04,29,110
2021-02-05,32,135
2021-02-06,34,110
2021-02-07,25,107
2021-02-08,28,117
2021-02-09,29,127
2021-02-10,38,114
2021-02-11,34,105
2021-02-12,25,100
2021-02-13,27,94
2021-02-14,22,98
2021-02-15,27,130
2021-02-16,34,121
2021-02-17,28,115
2021-02-18,29,144
2021-02-19,26,110
2021-02-20,34,130
2021-02-21,27,132
2021-02-22,36,169
2021-02-23,39,154
2021-02-24,30,145
2021-02-25,26,195
2021-02-26,32,162
2021-02-27,22,167
2021-02-28,23,151
2021-03-01,42,197
2021-03-02,50,226
2021-03-03,41,209
2021-03-04,21,214
2021-03-05,53,248
2021-03-06,37,233
2021-03-07,39,184
2021-03-08,38,238
2021-03-09,35,267
2021-03-10,46,269
2021-03-11,28,230
2021-03-12,56,278
2021-03-13,40,234
2021-03-14,56,216
2021-03-15,51,290
2021-03-16,59,293
2021-03-17,43,252
2021-03-18,47,257
2021-03-19,47,287
2021-03-20,38,247
2021-03-21,33,230
2021-03-22,53,253
2021-03-23,52,247
2021-03-24,36,230
2021-03-25,57,286
2021-03-26,41,291
2021-03-27,54,235
2021-03-28,30,231
2021-03-29,48,283
2021-03-30,36,273
2021-03-31,37,226
2021-04-01,36,202
2021-04-02,31,236
2021-04-03,27,182
2021-04-04,11,181
2021-04-05,15,165
2021-04-06,32,196
2021-04-07,13,193
2021-04-08,18,178
2021-04-09,16,161
2021-04-10,5,171
2021-04-11,13,118
2021-04-12,12,153
2021-04-13,17,163
2021-04-14,17,134
2021-04-15,10,124
2021-04-16,16,130
2021-04-17,7,101
2021-04-18,5,97
2021-04-19,13,118
2021-04-20,11,145
2021-04-21,6,120
2021-04-22,9,113
2021-04-23,8,105
2021-04-24,10,104
2021-04-25,6,96
2021-04-26,10,126
2021-04-27,9,113
2021-04-28,9,105
2021-04-29,13,103
2021-04-30,5,105
2021-05-01,7,88
2021-05-02,7,85
2021-05-03,8,109
2021-05-04,9,119
2021-05-05,5,91
2021-05-06,5,80
2021-05-07,5,83
2021-05-08,9,60
2021-05-09,5,60
2021-05-10,6,73
2021-05-11,4,58
2021-05-12,4,54
2021-05-13,3,62
2021-05-14,4,58
2021-05-15,6,56
2021-05-16,3,32
2021-05-17,3,49
2021-05-18,3,49
2021-05-19,3,49
2021-05-20,5,33
2021-05-21,3,53
2021-05-22,2,41
2021-05-23,2,25
2021-05-24,4,30
2021-05-25,2,30
2021-05-26,1,40
2021-05-27,1,21
2021-05-28,5,20
2021-05-29,0,20
2021-05-30,1,26
2021-05-31,3,28
2021-06-01,6,19
2021-06-02,2,18
2021-06-03,2,15
2021-06-04,4,20
2021-06-05,2,19
2021-06-06,3,10
2021-06-07,3,14
2021-06-08,0,17
2021-06-09,3,16
2021-06-10,3,9
2021-06-11,2,13
2021-06-12,3,10
2021-06-13,0,11
2021-06-14,1,7
2021-06-15,6,18
2021-06-16,2,11
