dt_PRELIEVO,positivi,ricoveri,ricoveri/positivi 7gg
2020-01-29,2,2,
2020-01-30,0,0,
2020-01-31,0,0,
2020-02-01,0,0,1.0
2020-02-02,0,0,
2020-02-03,0,0,1.0
2020-02-04,0,0,1.0
2020-02-05,0,0,1.0
2020-02-06,1,1,1.0
2020-02-07,0,0,1.0
2020-02-08,0,0,1.0
2020-02-09,0,0,1.0
2020-02-10,0,0,
2020-02-11,0,0,
2020-02-12,0,0,
2020-02-13,0,0,
2020-02-14,0,0,
2020-02-15,0,0,
2020-02-16,0,0,
2020-02-17,0,0,0.25
2020-02-18,0,0,0.775
2020-02-19,0,0,0.7938144329896907
2020-02-20,4,1,0.7471264367816092
2020-02-21,36,30,0.7065637065637066
2020-02-22,57,46,0.6607538802660754
2020-02-23,77,53,0.6189821182943603
2020-02-24,85,53,0.6297029702970297
2020-02-25,192,115,0.6270801815431165
2020-02-26,276,152,0.6416361416361417
2020-02-27,287,187,0.6692034500253679
2020-02-28,348,223,0.673558648111332
2020-02-29,373,268,0.6896
2020-03-01,410,321,0.7044585987261146
2020-03-02,629,428,0.704251012145749
2020-03-03,802,576,0.7032015681149951
2020-03-04,1076,762,0.692937421950881
2020-03-05,1302,901,0.690516614115935
2020-03-06,1530,1049,0.6749543332656789
2020-03-07,1458,957,0.6640869565217391
2020-03-08,1449,1021,0.6507575757575758
2020-03-09,2237,1385,0.6316979125116341
2020-03-10,2448,1562,0.6129563390677341
2020-03-11,2776,1715,0.5975516838522883
2020-03-12,3144,1813,0.5920709441836203
2020-03-13,4101,2343,0.5831748848607766
2020-03-14,3532,1925,0.5680731734859036
2020-03-15,2849,1742,0.5562226518774804
2020-03-16,4817,2702,0.5515162872044723
2020-03-17,5348,2852,0.5429432592982765
2020-03-18,5690,3021,0.5364605303861189
2020-03-19,5682,3074,0.528210727446431
2020-03-20,6255,3238,0.5230383753132006
2020-03-21,4918,2447,0.5156436775635362
2020-03-22,3925,2017,0.5035495906311535
2020-03-23,6097,3182,0.4844992359690244
2020-03-24,5915,2864,0.4652613916417597
2020-03-25,5804,2613,0.452281937859243
2020-03-26,5697,2346,0.44476112920738325
2020-03-27,5786,2277,0.42368670797744656
2020-03-28,4529,1776,0.4001701403658018
2020-03-29,3012,1327,0.3840220385674931
2020-03-30,5083,1976,0.3718158796365261
2020-03-31,5354,1797,0.3612102404965089
2020-04-01,5024,1744,0.35247600522942507
