dt_PRELIEVO,positivi,deceduti,deceduti/positivi 7gg
2020-02-25,1,,
2020-02-26,3,1.0,
2020-02-27,1,0.0,
2020-02-28,12,0.0,
2020-02-29,4,0.0,0.09523809523809523
2020-03-01,6,0.0,0.0619047619047619
2020-03-02,6,0.0,0.08231292517006802
2020-03-03,3,1.0,0.10715764566696243
2020-03-04,10,1.0,0.12858621709553386
2020-03-05,7,1.0,0.1464433599526767
2020-03-06,23,4.0,0.15265454007690032
2020-03-07,20,3.0,0.12544365572315883
2020-03-08,16,2.0,0.13496746524696837
2020-03-09,23,1.0,0.14203182945418974
2020-03-10,35,5.0,0.13351363956954024
2020-03-11,24,4.0,0.142697313038928
2020-03-12,78,15.0,0.15780720314881808
2020-03-13,70,8.0,0.17294249264692615
2020-03-14,70,15.0,0.186480581149654
2020-03-15,78,18.0,0.20150600879644087
2020-03-16,87,13.0,0.20143074159788601
2020-03-17,101,24.0,0.1993899252713554
2020-03-18,103,28.0,0.1928378307493361
2020-03-19,73,14.0,0.19197352651424535
2020-03-20,100,10.0,0.20021889362660755
2020-03-21,95,16.0,0.1838165015076964
2020-03-22,89,20.0,0.16292842729474538
2020-03-23,140,29.0,0.14743592892553467
2020-03-24,114,14.0,0.14957057588776784
2020-03-25,199,25.0,0.14710510989721004
2020-03-26,132,11.0,0.1301730512031945
2020-03-27,174,20.0,0.1186535036251271
2020-03-28,86,13.0,0.1134249149119649
2020-03-29,113,12.0,0.10370003150210985
2020-03-30,166,21.0,0.09991215271423105
2020-03-31,174,15.0,0.0967808280111341
2020-04-01,139,8.0,0.08991368412648841
2020-04-02,88,5.0,0.08693813603978125
2020-04-03,129,12.0,0.08558317211111825
2020-04-04,97,10.0,0.08500958414971735
2020-04-05,82,7.0,0.08699167194886578
2020-04-06,94,11.0,0.08567750992041803
2020-04-07,73,6.0,0.08443666614665189
2020-04-08,98,7.0,0.06970912564591551
2020-04-09,84,4.0,0.0679036140843064
2020-04-10,83,7.0,0.07737676504681905
2020-04-11,99,0.0,0.0782401240890661
2020-04-12,55,4.0,0.07555483944889423
2020-04-13,60,11.0,0.07715547970499667
2020-04-14,68,6.0,0.07049812251342716
2020-04-15,76,4.0,0.07425752100966776
2020-04-16,51,3.0,0.06819691494906169
2020-04-17,53,2.0,0.049798646550793295
2020-04-18,38,1.0,0.04989201723239927
2020-04-19,33,1.0,0.06142083928753711
2020-04-20,55,3.0,0.05301747794299929
2020-04-21,45,4.0,0.04762664236348447
2020-04-22,45,6.0,0.04386724386724387
2020-04-23,56,0.0,0.05382395382395382
2020-04-24,46,0.0,0.05011337868480725
2020-04-25,16,0.0,0.04362614611061815
2020-04-26,10,1.0,0.030292812777284815
2020-04-27,35,1.0,0.030292812777284815
2020-04-28,23,1.0,0.030292812777284815
2020-04-29,25,1.0,0.030292812777284815
2020-04-30,38,0.0,0.016007098491570528
2020-05-01,19,0.0,0.015588469501512965
2020-05-02,20,0.0,0.01778065072182718
2020-05-03,10,0.0,0.012066365007541463
2020-05-04,39,1.0,0.012066365007541463
2020-05-05,17,1.0,0.012066365007541463
2020-05-06,10,0.0,0.012066365007541463
2020-05-07,30,0.0,0.012066365007541463
2020-05-08,11,0.0,0.008403361344537801
2020-05-09,15,0.0,0.012987012987012974
2020-05-10,6,0.0,0.019480519480519466
2020-05-11,11,0.0,0.019480519480519466
2020-05-12,11,1.0,0.030469530469530458
2020-05-13,22,1.0,0.04237429237429236
2020-05-14,17,0.0,0.04237429237429236
2020-05-15,13,1.0,0.04237429237429236
2020-05-16,12,1.0,0.039591361019932436
2020-05-17,5,0.0,0.03309785452642594
2020-05-18,12,0.0,0.045002616431187845
2020-05-19,14,1.0,0.03401360544217685
2020-05-20,10,0.0,0.022108843537414952
2020-05-21,12,1.0,0.022108843537414952
2020-05-22,9,0.0,0.022108843537414952
2020-05-23,7,0.0,0.01190476190476189
2020-05-24,2,0.0,0.01190476190476189
2020-05-25,13,0.0,0.0
2020-05-26,13,0.0,0.0
2020-05-27,8,0.0,0.0
2020-05-28,10,0.0,0.0
2020-05-29,7,0.0,0.0
2020-05-30,4,0.0,0.0
2020-05-31,2,0.0,0.0
2020-06-01,8,0.0,
2020-06-02,3,0.0,
2020-06-03,2,0.0,
2020-06-04,0,0.0,
2020-06-05,3,0.0,
2020-06-06,6,0.0,
2020-06-07,3,0.0,
2020-06-08,5,1.0,0.028571428571428557
2020-06-09,6,0.0,0.028571428571428557
2020-06-10,5,0.0,0.028571428571428557
2020-06-11,2,0.0,
2020-06-12,1,0.0,
2020-06-13,5,0.0,
2020-06-14,0,0.0,
2020-06-15,3,0.0,
2020-06-16,2,0.0,
2020-06-17,2,0.0,
2020-06-18,1,0.0,0.0
2020-06-19,1,0.0,0.0
2020-06-20,3,0.0,0.0
2020-06-21,9,0.0,0.0
2020-06-22,6,0.0,
2020-06-23,32,0.0,
2020-06-24,5,0.0,
2020-06-25,0,0.0,
2020-06-26,4,0.0,
2020-06-27,3,0.0,
2020-06-28,14,0.0,
2020-06-29,14,0.0,0.010989010989010974
2020-06-30,9,0.0,0.010989010989010974
2020-07-01,2,0.0,0.010989010989010974
2020-07-02,13,1.0,0.010989010989010974
2020-07-03,4,0.0,0.010989010989010974
2020-07-04,23,0.0,0.010989010989010974
2020-07-05,3,0.0,0.010989010989010974
2020-07-06,1,0.0,0.0
2020-07-07,9,0.0,0.0
2020-07-08,11,0.0,0.0
2020-07-09,5,0.0,0.0
2020-07-10,4,0.0,0.0
2020-07-11,7,0.0,0.014285714285714271
2020-07-12,1,0.0,0.022689075630252083
2020-07-13,2,0.0,0.022689075630252083
2020-07-14,10,1.0,0.022689075630252083
2020-07-15,17,1.0,0.04309723889555821
2020-07-16,13,0.0,0.04309723889555821
2020-07-17,15,0.0,0.051033746832066136
2020-07-18,7,1.0,0.03674803254635185
2020-07-19,5,0.0,0.04195011337868478
2020-07-20,18,1.0,0.04195011337868478
2020-07-21,16,0.0,0.0503534747232226
2020-07-22,21,2.0,0.02994531145791648
2020-07-23,4,0.0,0.02994531145791648
2020-07-24,17,1.0,0.022008803521408545
2020-07-25,32,0.0,0.022008803521408545
2020-07-26,11,0.0,0.008403361344537797
2020-07-27,20,0.0,0.008403361344537797
2020-07-28,19,0.0,0.0
2020-07-29,9,0.0,0.0
2020-07-30,7,0.0,0.0
2020-07-31,11,0.0,0.0
2020-08-01,5,0.0,0.0
2020-08-02,5,0.0,0.0
2020-08-03,6,0.0,0.0
2020-08-04,7,0.0,0.0
2020-08-05,10,0.0,0.0
2020-08-06,8,0.0,0.00892857142857141
2020-08-07,16,0.0,0.014880952380952365
2020-08-08,15,0.0,0.014880952380952365
2020-08-09,16,1.0,0.019082633053221273
2020-08-10,48,2.0,0.019082633053221273
2020-08-11,19,0.0,0.022943636914225133
2020-08-12,34,1.0,0.022943636914225133
2020-08-13,35,0.0,0.01847935119993942
2020-08-14,37,1.0,0.02184374043389387
2020-08-15,43,0.0,0.024394760842057134
2020-08-16,32,1.0,0.020193080169788224
2020-08-17,46,3.0,0.020193080169788224
2020-08-18,56,1.0,0.016332076308784364
2020-08-19,54,0.0,0.016332076308784364
2020-08-20,98,0.0,0.01186779059449865
2020-08-21,128,0.0,0.0025510204081632465
2020-08-22,140,0.0,0.0007479431563201007
2020-08-23,125,0.0,0.0014482232683649186
2020-08-24,226,0.0,0.0022787880524180746
2020-08-25,191,1.0,0.0022787880524180746
2020-08-26,204,1.0,0.004235735214844689
2020-08-27,172,1.0,0.004235735214844689
2020-08-28,158,0.0,0.005999403645179786
2020-08-29,146,2.0,0.00933309314192089
2020-08-30,77,0.0,0.008632813029876073
2020-08-31,162,2.0,0.014295754739329411
2020-09-01,105,3.0,0.016941257384832056
2020-09-02,156,0.0,0.014984310222405442
2020-09-03,110,5.0,0.018306569358618068
2020-09-04,216,4.0,0.017103125017918823
2020-09-05,105,0.0,0.01475309409645933
2020-09-06,43,1.0,0.018913981752492617
2020-09-07,255,1.0,0.01441847725698812
2020-09-08,165,2.0,0.011772974611485475
2020-09-09,103,3.0,0.014856222299049709
2020-09-10,143,2.0,0.011533963162837085
2020-09-11,127,0.0,0.011657266072517703
2020-09-12,139,3.0,0.011390865806117438
2020-09-13,60,0.0,0.012795840858804003
2020-09-14,209,1.0,0.014254060058958688
2020-09-15,195,2.0,0.015742155297053927
2020-09-16,154,6.0,0.014856709807291887
2020-09-17,124,3.0,0.014856709807291887
2020-09-18,192,2.0,0.01461409991555919
2020-09-19,65,1.0,0.015072900374359646
2020-09-20,85,0.0,0.0125991836149286
2020-09-21,324,1.0,0.010966670623458848
2020-09-22,297,4.0,0.011656275733795666
2020-09-23,231,5.0,0.010775129230529345
2020-09-24,235,3.0,0.012618447202879577
2020-09-25,328,5.0,0.014392369519437552
2020-09-26,217,2.0,0.013578656270491143
2020-09-27,155,2.0,0.013063829908831202
2020-09-28,387,6.0,0.013576570300275112
2020-09-29,386,3.0,0.013721750323503918
2020-09-30,388,7.0,0.01341468574456622
2020-10-01,428,7.0,0.015217373738407569
2020-10-02,492,8.0,0.01640389485848351
2020-10-03,283,2.0,0.018550227981083224
2020-10-04,431,11.0,0.01866469843383121
2020-10-05,966,23.0,0.018312376819827357
2020-10-06,658,15.0,0.018502544969334095
2020-10-07,743,14.0,0.01985292868067109
2020-10-08,576,8.0,0.019474896570688658
2020-10-09,739,13.0,0.018225809365184985
2020-10-10,908,15.0,0.017765470156558456
2020-10-11,612,14.0,0.01713259680924464
2020-10-12,1593,24.0,0.016479193895567755
2020-10-13,1737,34.0,0.015837963283953913
2020-10-14,1804,26.0,0.016313321063343704
2020-10-15,1825,17.0,0.015289176676094914
2020-10-16,1908,25.0,0.015200730982603891
2020-10-17,1310,26.0,0.014498360344577648
2020-10-18,955,15.0,0.013910680962092812
2020-10-19,2838,41.0,0.014442045922774514
2020-10-20,2729,40.0,0.01464850996680579
2020-10-21,2913,30.0,0.014435138269427267
2020-10-22,2455,32.0,0.017062642063201208
2020-10-23,2887,42.0,0.01688697125551638
2020-10-24,1798,33.0,0.01690446990649056
2020-10-25,1349,46.0,0.017995515787334628
2020-10-26,3556,47.0,0.018301963944713385
2020-10-27,3180,47.0,0.018723855614296625
2020-10-28,3624,65.0,0.01920649224906565
2020-10-29,3755,57.0,0.017224595546202173
2020-10-30,4114,72.0,0.017448573885315313
2020-10-31,3129,68.0,0.017029852616477444
2020-11-01,1681,34.0,0.017063956817221348
2020-11-02,4464,66.0,0.017087182525763363
2020-11-03,4895,58.0,0.0170284762870949
2020-11-04,5117,93.0,0.0166347221168734
2020-11-05,4367,67.0,0.0167691073727707
2020-11-06,4564,78.0,0.017011602490448183
2020-11-07,3320,63.0,0.017397367489862103
2020-11-08,1937,41.0,0.017171296443762123
2020-11-09,4975,82.0,0.017733090224084497
2020-11-10,4880,71.0,0.01748100433931101
2020-11-11,4701,78.0,0.017717750402948585
2020-11-12,4358,84.0,0.01725803115128302
2020-11-13,4176,64.0,0.01713027176592245
2020-11-14,3538,73.0,0.017665533591597112
2020-11-15,1950,35.0,0.017329736251329306
2020-11-16,4234,66.0,0.017117388365163154
2020-11-17,3662,67.0,0.016974670803218246
2020-11-18,4213,60.0,0.016270337918037232
2020-11-19,4160,74.0,0.01618193680267848
2020-11-20,3490,50.0,0.016352552666197038
2020-11-21,2611,41.0,0.01613442861848633
2020-11-22,1558,27.0,0.0158191968899621
2020-11-23,3456,58.0,0.01551245852926128
2020-11-24,3578,60.0,0.016241066915076617
2020-11-25,2742,33.0,0.016320690734786935
2020-11-26,2877,45.0,0.016953797576198568
2020-11-27,2059,40.0,0.01716877416550611
2020-11-28,1968,32.0,0.017464482607797142
2020-11-29,965,21.0,0.018221055691998604
2020-11-30,2242,41.0,0.019147141519392025
2020-12-01,1964,37.0,0.019100382156231836
2020-12-02,1731,30.0,0.018343672497178647
2020-12-03,1582,35.0,0.019041402496320116
2020-12-04,1466,28.0,0.02000762179242308
2020-12-05,1277,14.0,0.019990713929608713
2020-12-06,638,17.0,0.019451513399529774
2020-12-07,1477,37.0,0.018499489049102518
2020-12-08,641,12.0,0.01740799453240709
2020-12-09,1254,17.0,0.01958480572872019
2020-12-10,1229,19.0,0.017415598589648414
2020-12-11,1309,15.0,0.016380763836423777
2020-12-12,916,24.0,0.016378066887433134
2020-12-13,349,4.0,0.017304577640726036
2020-12-14,1067,19.0,0.017104077861765956
2020-12-15,909,17.0,0.01971969762876667
2020-12-16,948,19.0,0.01909501624605911
2020-12-17,996,14.0,0.02157291143328254
2020-12-18,907,27.0,0.021794040487135236
2020-12-19,733,16.0,0.021954857061403505
2020-12-20,486,14.0,0.02173204222991015
2020-12-21,1085,21.0,0.022572388716645873
2020-12-22,1160,23.0,0.021709581014378598
2020-12-23,1028,19.0,0.02174834441870998
2020-12-24,652,13.0,0.021552978708439117
2020-12-25,295,7.0,0.02220972972253995
2020-12-26,362,8.0,0.022629067597894712
2020-12-27,656,18.0,0.022354236888409283
2020-12-28,1336,32.0,0.02163516528051529
2020-12-29,1274,29.0,0.021687675563779096
2020-12-30,1389,23.0,0.021399228959683155
2020-12-31,738,11.0,0.022719302143867838
2021-01-01,332,8.0,0.021798574571401726
2021-01-02,996,20.0,0.021435158608721628
2021-01-03,518,19.0,0.021100777776249836
2021-01-04,1428,25.0,0.022311268226338565
2021-01-05,1187,24.0,0.02199806451487459
2021-01-06,633,9.0,0.02361924310679328
2021-01-07,1326,31.0,0.021319765066075348
2021-01-08,1187,26.0,0.022547499226623743
2021-01-09,1050,33.0,0.023651579034860298
2021-01-10,583,12.0,0.023840335580999208
2021-01-11,1226,32.0,0.023240264150951952
2021-01-12,1145,32.0,0.02293556589927871
2021-01-13,1094,17.0,0.02132208829347129
2021-01-14,1095,21.0,0.023942981149868897
2021-01-15,961,19.0,0.023409560129301565
2021-01-16,745,15.0,0.021407095844363188
2021-01-17,411,16.0,0.022935212962147455
2021-01-18,1073,24.0,0.024446283959192277
2021-01-19,1005,14.0,0.024486801505119053
2021-01-20,991,26.0,0.024402479469897428
2021-01-21,941,28.0,0.022711644565585838
2021-01-22,1097,22.0,0.02179078136661226
2021-01-23,921,18.0,0.02227230848140901
2021-01-24,406,11.0,0.02126674884608728
2021-01-25,1319,21.0,0.019326676301732185
2021-01-26,1156,20.0,0.018101400189553092
2021-01-27,1146,22.0,0.018059300791081836
2021-01-28,1051,17.0,0.01621225934678115
2021-01-29,1394,16.0,0.017246079682305328
2021-01-30,1039,20.0,0.01809925614101812
2021-01-31,706,10.0,0.018360364636676084
2021-02-01,1425,33.0,0.0194030942142685
2021-02-02,1332,31.0,0.019810322267484692
2021-02-03,1522,32.0,0.01882818585707417
2021-02-04,1491,35.0,0.018400882772578942
2021-02-05,1675,24.0,0.017228793671321126
2021-02-06,1293,16.0,0.01651855613824318
2021-02-07,716,8.0,0.01592529810766737
2021-02-08,1605,24.0,0.0161522235702171
2021-02-09,1366,25.0,0.01680242934257799
2021-02-10,1541,26.0,0.017754394038736406
2021-02-11,1596,40.0,0.01995974545304515
2021-02-12,1589,30.0,0.021755411846156453
2021-02-13,998,19.0,0.02203364193788116
2021-02-14,714,19.0,0.023448156334890106
2021-02-15,1417,39.0,0.022697534915984557
2021-02-16,1284,26.0,0.02275334581085286
2021-02-17,1494,40.0,0.021987419060213318
2021-02-18,1565,31.0,0.02170238196845354
2021-02-19,1453,28.0,0.02112463078955854
2021-02-20,1243,17.0,0.021416137330532454
2021-02-21,650,16.0,0.02007170572823221
2021-02-22,2087,49.0,0.019627577713913942
2021-02-23,1974,44.0,0.019373247271690652
2021-02-24,2131,37.0,0.020126886347761434
2021-02-25,2036,34.0,0.0198159777441699
2021-02-26,2287,40.0,0.018511707507657495
2021-02-27,1794,34.0,0.017938421140724747
2021-02-28,1025,23.0,0.01795650279638744
2021-03-01,2718,39.0,0.018975475732669594
2021-03-02,2298,42.0,0.019845218818411326
2021-03-03,2573,45.0,0.019588567951813633
2021-03-04,2098,50.0,0.01956031187064595
2021-03-05,2163,51.0,0.01981125921418248
2021-03-06,1807,31.0,0.02060036871397583
2021-03-07,1169,26.0,0.020478886288418003
2021-03-08,2732,44.0,0.019848208369152708
2021-03-09,2647,63.0,0.019141101703714292
2021-03-10,2404,40.0,0.019486451328359338
2021-03-11,2369,46.0,0.018202847729206936
2021-03-12,2523,47.0,0.018688986490689893
2021-03-13,2248,44.0,0.017611281006264724
2021-03-14,1207,16.0,0.018157697019853456
2021-03-15,2563,50.0,0.017731934637161467
2021-03-16,2276,37.0,0.018126471437937337
2021-03-17,2199,45.0,0.01798328156817003
2021-03-18,2251,37.0,0.018702806753716595
2021-03-19,2057,44.0,0.018158046561927012
2021-03-20,1777,33.0,0.018979232199910444
2021-03-21,984,18.0,0.019248543342598737
2021-03-22,2230,35.0,0.0190243956949239
2021-03-23,2045,45.0,0.019075596419736277
2021-03-24,2103,47.0,0.019522464052569376
2021-03-25,2085,31.0,0.019221362362774608
2021-03-26,2253,49.0,0.020007755550121697
2021-03-27,1613,35.0,0.019176635605002
2021-03-28,865,14.0,0.018062343657744537
2021-03-29,2217,47.0,0.018152158509860763
2021-03-30,2224,36.0,0.01683010747096632
2021-03-31,2062,30.0,0.017454510419318066
2021-04-01,2194,34.0,0.019685531711186192
2021-04-02,2241,28.0,0.021326650533431267
2021-04-03,1496,39.0,0.021886677425743534
2021-04-04,566,18.0,0.022153564310330578
