dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 7gg
2020-02-20,2,2.0,
2020-02-21,1,0.0,
2020-02-22,0,0.0,
2020-02-23,6,1.0,
2020-02-24,2,2.0,
2020-02-25,0,0.0,
2020-02-26,4,1.0,
2020-02-27,5,2.0,
2020-02-28,3,3.0,
2020-02-29,5,2.0,0.3630647130647131
2020-03-01,5,0.0,0.37306471306471306
2020-03-02,9,2.0,0.3666131001614873
2020-03-03,26,7.0,0.2737559573043445
2020-03-04,25,8.0,0.23702126342679344
2020-03-05,31,11.0,0.2901774096061955
2020-03-06,40,14.0,0.3149789969077828
2020-03-07,49,7.0,0.3297387469616505
2020-03-08,43,16.0,0.3268816041045076
2020-03-09,48,19.0,0.32324918339428804
2020-03-10,51,19.0,0.3095900355246139
2020-03-11,70,21.0,0.3463247294021649
2020-03-12,85,28.0,0.3261356161897959
2020-03-13,114,29.0,0.30387371142789116
2020-03-14,40,16.0,0.2826353653431886
2020-03-15,39,9.0,0.2712067939146172
2020-03-16,50,12.0,0.27176701800425307
2020-03-17,67,15.0,0.28597561642337777
2020-03-18,50,11.0,0.26653117197893333
2020-03-19,51,17.0,0.28662536350169626
2020-03-20,65,23.0,0.2940063158826486
2020-03-21,72,19.0,0.27988051630908783
2020-03-22,70,26.0,0.2775076349531556
2020-03-23,96,28.0,0.254951243975712
2020-03-24,64,8.0,0.2222589362834043
2020-03-25,59,12.0,0.2170280560525241
2020-03-26,57,10.0,0.20396683156272816
2020-03-27,40,5.0,0.17695217954807616
2020-03-28,22,5.0,0.1940156716115682
2020-03-29,25,7.0,0.1857933148722623
2020-03-30,39,4.0,0.18200725397533915
2020-03-31,45,11.0,0.2043286825467677
2020-04-01,48,7.0,0.19670587057612962
2020-04-02,47,7.0,0.19242015629041534
2020-04-03,32,9.0,0.20912702665582228
2020-04-04,23,4.0,0.2023754058196944
2020-04-05,12,3.0,0.2188797348240234
2020-04-06,41,9.0,0.22391892855302675
2020-04-07,71,14.0,0.20344479062199228
2020-04-08,88,23.0,0.2134432757000108
2020-04-09,114,21.0,0.22534803760477268
2020-04-10,58,8.0,0.20497816357636206
2020-04-11,41,10.0,0.202783175465881
2020-04-12,21,7.0,0.1863514364731664
2020-04-13,26,2.0,0.19442718139101658
2020-04-14,55,10.0,0.20130082098318064
2020-04-15,41,6.0,0.21041365936431172
2020-04-16,54,13.0,0.2073215134150229
2020-04-17,86,16.0,0.23825796826452122
2020-04-18,65,20.0,0.24708247708903006
2020-04-19,77,24.0,0.26651268819786383
2020-04-20,92,27.0,0.27159483801685574
2020-04-21,78,19.0,0.27531979523018507
2020-04-22,85,24.0,0.2767152251970436
2020-04-23,76,21.0,0.29029970367256325
2020-04-24,99,21.0,0.2777284452704531
2020-04-25,63,20.0,0.26748348190048976
2020-04-26,59,24.0,0.2716742491164671
2020-04-27,73,15.0,0.2626455297771352
2020-04-28,64,11.0,0.2842905514221568
2020-04-29,77,24.0,0.26274860130877814
2020-04-30,61,13.0,0.24035150687778534
2020-05-01,44,16.0,0.23227389518606698
2020-05-02,36,6.0,0.23694110297827478
2020-05-03,32,8.0,0.2261804350747497
2020-05-04,47,7.0,0.22716404163212675
2020-05-05,44,9.0,0.1959952104632956
2020-05-06,55,13.0,0.19681622852569297
2020-05-07,50,11.0,0.1744947999542644
2020-05-08,55,8.0,0.17185174458225433
2020-05-09,29,5.0,0.16303912862678122
2020-05-10,32,3.0,0.14187793687735417
2020-05-11,46,6.0,0.13218849588356535
2020-05-12,35,5.0,0.13101711824159948
2020-05-13,34,3.0,0.12803159801469993
2020-05-14,46,7.0,0.13661676284986476
2020-05-15,51,7.0,0.12869750819147968
2020-05-16,33,5.0,0.13133081958055143
2020-05-17,26,4.0,0.13715895728724703
2020-05-18,40,3.0,0.12902526902933517
2020-05-19,31,5.0,0.12574395650432518
2020-05-20,31,4.0,0.1326703634307321
2020-05-21,21,2.0,0.11862884938921806
2020-05-22,35,4.0,0.12256657832694699
2020-05-23,20,4.0,0.10547748462495007
2020-05-24,18,1.0,0.09180620966335253
2020-05-25,39,4.0,0.09500749017555742
2020-05-26,24,1.0,0.10153810242045537
2020-05-27,30,1.0,0.07296667384902679
