dt_RICOVERO,ricoveri,deceduti,deceduti/ricoveri 7gg
2020-02-21,1,,
2020-02-22,0,,
2020-02-23,1,,
2020-02-24,1,1.0,
2020-02-25,3,3.0,
2020-02-26,0,0.0,
2020-02-27,1,1.0,
2020-02-28,0,0.0,
2020-02-29,0,0.0,
2020-03-01,3,2.0,
2020-03-02,7,3.0,
2020-03-03,7,3.0,
2020-03-04,7,5.0,0.5585034013605441
2020-03-05,7,4.0,0.5346938775510204
2020-03-06,10,3.0,0.5448979591836733
2020-03-07,10,8.0,0.5265306122448979
2020-03-08,10,5.0,0.4530612244897959
2020-03-09,10,5.0,0.41904761904761906
2020-03-10,10,3.0,0.41190476190476194
2020-03-11,15,3.0,0.3276942355889725
2020-03-12,18,6.0,0.28801169590643283
2020-03-13,24,6.0,0.2255116959064328
2020-03-14,19,4.0,0.22206342004436386
2020-03-15,27,6.0,0.2337850317659756
2020-03-16,16,1.0,0.20136355253598576
2020-03-17,29,8.0,0.19495329612572934
2020-03-18,39,11.0,0.17916382244151882
2020-03-19,47,5.0,0.16245538468044948
2020-03-20,39,8.0,0.19026150712942907
2020-03-21,20,2.0,0.174662163943879
2020-03-22,19,2.0,0.16542502427195677
2020-03-23,35,9.0,0.190227455882899
2020-03-24,30,5.0,0.21018451032271207
2020-03-25,23,5.0,0.2530416531798549
2020-03-26,25,7.0,0.28562310681394015
2020-03-27,29,10.0,0.2965074605554368
2020-03-28,20,8.0,0.3253295156932814
2020-03-29,6,2.0,0.3389164722150205
2020-03-30,12,4.0,0.3274879007864491
2020-03-31,19,7.0,0.33945130683852515
2020-04-01,16,5.0,0.3108798782670966
2020-04-02,15,3.0,0.3346894020766204
2020-04-03,7,3.0,0.31087987826709657
2020-04-04,10,2.0,0.3241823652537941
2020-04-05,6,3.0,0.35096807953950837
2020-04-06,6,1.0,0.39382522239665124
2020-04-07,13,6.0,0.37724358974359
2020-04-08,10,5.0,0.42010073260073283
2020-04-09,6,3.0,0.40224358974359
2020-04-10,16,5.0,0.4804748822605968
2020-04-11,12,6.0,0.4757653061224492
2020-04-12,8,3.0,0.4281462585034016
2020-04-13,7,5.0,0.35671768707483015
2020-04-14,7,3.0,0.35289115646258523
2020-04-15,6,1.0,0.33860544217687094
2020-04-16,2,0.0,0.2850340136054424
2020-04-17,7,2.0,0.2544217687074832
2020-04-18,5,2.0,0.3360544217687077
2020-04-19,2,0.0,0.3428571428571431
2020-04-20,6,3.0,0.37857142857142884
2020-04-21,1,1.0,0.48061224489795945
2020-04-22,14,3.0,0.4393424036281182
2020-04-23,4,1.0,0.4393424036281182
2020-04-24,1,1.0,0.39172335600907054
2020-04-25,9,1.0,0.2488662131519277
2020-04-26,1,0.0,0.21825396825396853
2020-04-27,6,1.0,0.1825396825396828
2020-04-28,3,0.0,0.03968253968253995
2020-04-29,5,0.0,0.07142857142857169
2020-04-30,3,0.0,0.07142857142857169
2020-05-01,1,0.0,
2020-05-02,3,1.0,
2020-05-03,1,0.0,
2020-05-04,0,0.0,
2020-05-05,2,1.0,
2020-05-06,4,2.0,
2020-05-07,4,0.0,
2020-05-08,6,3.0,0.3571428571428574
2020-05-09,2,0.0,
2020-05-10,1,1.0,
2020-05-11,1,0.0,
2020-05-12,0,0.0,
2020-05-13,4,0.0,
2020-05-14,6,0.0,
2020-05-15,9,3.0,
2020-05-16,5,1.0,
2020-05-17,0,0.0,
2020-05-18,2,0.0,
2020-05-19,0,0.0,
2020-05-20,1,0.0,
2020-05-21,2,1.0,
2020-05-22,0,0.0,
2020-05-23,1,0.0,
2020-05-24,0,0.0,
2020-05-25,1,0.0,
2020-05-26,1,0.0,
2020-05-27,3,0.0,
2020-05-28,1,0.0,2.5376526277146434e-16
2020-05-29,2,0.0,2.5376526277146434e-16
2020-05-30,2,0.0,2.5376526277146434e-16
2020-05-31,1,0.0,2.5376526277146434e-16
2020-06-01,1,0.0,2.5376526277146434e-16
2020-06-02,1,0.0,2.5376526277146434e-16
2020-06-03,3,0.0,2.5376526277146434e-16
2020-06-04,1,0.0,
2020-06-05,1,0.0,
2020-06-06,1,0.0,
2020-06-07,0,0.0,
2020-06-08,1,0.0,
2020-06-09,0,0.0,
2020-06-10,0,0.0,
2020-06-11,0,0.0,
2020-06-12,1,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,1,0.0,
2020-06-16,1,0.0,
2020-06-17,1,0.0,
2020-06-18,0,0.0,
2020-06-19,2,0.0,
2020-06-20,2,0.0,
2020-06-21,0,0.0,
2020-06-22,0,0.0,
2020-06-23,0,0.0,
2020-06-24,1,0.0,
2020-06-25,1,0.0,
2020-06-26,1,1.0,
2020-06-27,0,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,0,0.0,
2020-07-01,1,0.0,
2020-07-02,0,0.0,
2020-07-03,3,0.0,
2020-07-04,0,0.0,
2020-07-05,2,0.0,
2020-07-06,0,0.0,
2020-07-07,1,1.0,
2020-07-08,1,0.0,
2020-07-09,0,0.0,
2020-07-10,0,0.0,
2020-07-11,0,0.0,
2020-07-12,0,0.0,
2020-07-13,1,0.0,
2020-07-14,1,0.0,
2020-07-15,1,0.0,
2020-07-16,3,0.0,
2020-07-17,0,0.0,
2020-07-18,0,0.0,
2020-07-19,0,0.0,
2020-07-20,0,0.0,
2020-07-21,2,0.0,
2020-07-22,1,0.0,
2020-07-23,2,0.0,
2020-07-24,0,0.0,
2020-07-25,1,0.0,
2020-07-26,0,0.0,
2020-07-27,0,0.0,
2020-07-28,1,0.0,
2020-07-29,1,0.0,
2020-07-30,0,0.0,
2020-07-31,0,0.0,
2020-08-01,3,1.0,
2020-08-02,0,0.0,
2020-08-03,0,0.0,
2020-08-04,1,0.0,
2020-08-05,4,0.0,
2020-08-06,2,0.0,
2020-08-07,1,0.0,
2020-08-08,0,0.0,
2020-08-09,0,0.0,
2020-08-10,0,0.0,
2020-08-11,0,0.0,
2020-08-12,0,0.0,
2020-08-13,1,0.0,
2020-08-14,2,0.0,
2020-08-15,2,0.0,
2020-08-16,0,0.0,
2020-08-17,0,0.0,
2020-08-18,1,0.0,
2020-08-19,3,0.0,
