date,confirmed,sintomatici,sintomatici/positivi 7gg
2020-01-29,2,2,
2020-01-30,0,0,
2020-01-31,0,0,
2020-02-01,0,0,
2020-02-02,0,0,
2020-02-03,0,0,
2020-02-04,0,0,
2020-02-05,0,0,
2020-02-06,1,1,
2020-02-07,0,0,
2020-02-08,0,0,
2020-02-09,0,0,
2020-02-10,0,0,
2020-02-11,0,0,
2020-02-12,0,0,
2020-02-13,0,0,
2020-02-14,0,0,
2020-02-15,0,0,
2020-02-16,0,0,
2020-02-17,0,0,
2020-02-18,0,0,
2020-02-19,0,0,
2020-02-20,4,3,
2020-02-21,36,33,
2020-02-22,56,47,
2020-02-23,77,63,0.7969670670337632
2020-02-24,85,62,0.804709324776021
2020-02-25,191,141,0.7850048912784839
2020-02-26,277,218,0.7849843736880697
2020-02-27,286,230,0.7987632777108763
2020-02-28,348,271,0.8133824587166119
2020-02-29,373,313,0.8349461349457116
2020-03-01,410,375,0.8471851306339041
2020-03-02,630,524,0.8550627257520834
2020-03-03,803,714,0.8649673650686867
2020-03-04,1076,939,0.8618919841055047
2020-03-05,1301,1118,0.8550001324242961
2020-03-06,1527,1295,0.8552801073258943
2020-03-07,1442,1179,0.8493820578011715
2020-03-08,1452,1258,0.8423035179764697
2020-03-09,2237,1865,0.8372307001135296
2020-03-10,2452,2079,0.8334610957676957
2020-03-11,2776,2285,0.8300473446210042
2020-03-12,3139,2586,0.8256172947364089
2020-03-13,4105,3373,0.8232430074337608
2020-03-14,3534,2805,0.8151202020493321
2020-03-15,2849,2380,0.8126400179407032
2020-03-16,4811,3931,0.8105640417312222
2020-03-17,5345,4228,0.808294069795359
2020-03-18,5689,4584,0.8031739913693888
2020-03-19,5679,4596,0.7914131562887982
2020-03-20,6251,5037,0.7873649734215532
2020-03-21,4919,3728,0.7882663494230683
2020-03-22,3928,2958,0.7790691693028281
2020-03-23,6097,4809,0.7716006167804762
2020-03-24,5916,4717,0.7581971555913649
2020-03-25,5804,4303,0.7522672753812464
2020-03-26,5700,4315,0.7459436177504787
2020-03-27,5791,4123,0.7393828851815645
2020-03-28,4527,3243,0.7245316573341036
2020-03-29,3015,2137,0.7201441983454426
2020-03-30,5086,3778,0.7117535609479287
2020-03-31,5355,3713,0.7082442618798778
2020-04-01,5022,3569,0.6989718180837377
2020-04-02,4776,3335,0.6791760936151482
2020-04-03,4453,3061,0.6664771645082669
2020-04-04,3661,2385,0.6580729332505463
