date,hospitalizations,deceased,deceased_/_hospitalizations_7_days_moving_average
2020-02-20,3,3.0,
2020-02-21,2,0.0,
2020-02-22,0,0.0,
2020-02-23,2,2.0,
2020-02-24,1,0.0,
2020-02-25,4,2.0,
2020-02-26,2,1.0,0.4523809523809524
2020-02-27,3,0.0,0.36666666666666664
2020-02-28,2,1.0,0.36666666666666664
2020-02-29,3,2.0,0.41428571428571426
2020-03-01,5,2.0,0.37142857142857144
2020-03-02,5,0.0,0.42857142857142855
2020-03-03,6,5.0,0.42063492063492064
2020-03-04,5,1.0,0.34580498866213155
2020-03-05,10,4.0,0.342233560090703
2020-03-06,9,4.0,0.368207586064729
2020-03-07,7,1.0,0.2995801350843368
2020-03-08,8,3.0,0.34719918270338435
2020-03-09,11,2.0,0.3308726520911395
2020-03-10,17,6.0,0.30939739532176497
2020-03-11,15,8.0,0.31756066062788746
2020-03-12,35,10.0,0.30631727438450124
2020-03-13,34,10.0,0.3149752830425099
2020-03-14,30,6.0,0.31088716130732935
2020-03-15,27,8.0,0.2770247274448955
2020-03-16,33,8.0,0.2675672859317049
2020-03-17,37,12.0,0.25350078976802204
2020-03-18,54,16.0,0.25350078976802204
2020-03-19,41,9.0,0.25980496628496447
2020-03-20,46,9.0,0.25252855475323377
2020-03-21,50,10.0,0.23397428619896524
2020-03-22,47,16.0,0.23246257040153515
2020-03-23,47,9.0,0.23984460548096584
2020-03-24,72,14.0,0.24250653981991882
2020-03-25,42,12.0,0.25648830273785195
2020-03-26,59,16.0,0.2461836100252713
2020-03-27,42,9.0,0.2831137012106817
2020-03-28,47,14.0,0.2874058942783849
2020-03-29,41,11.0,0.30153462269282766
2020-03-30,40,18.0,0.2936817334840062
2020-03-31,49,11.0,0.2898552028717613
2020-04-01,39,15.0,0.3156249927488592
2020-04-02,37,8.0,0.31931427333914403
2020-04-03,32,6.0,0.31217141619628686
2020-04-04,23,11.0,0.32772049296985345
2020-04-05,34,10.0,0.35015639040575086
2020-04-06,25,10.0,0.4111050942115975
2020-04-07,36,12.0,0.4347395479931101
2020-04-08,24,13.0,0.42253901560624235
2020-04-09,14,9.0,0.4400460184073628
2020-04-10,17,6.0,0.43392356942777094
2020-04-11,28,11.0,0.4407262905162063
2020-04-12,12,5.0,0.44271041750033335
2020-04-13,14,5.0,0.42230225423502726
2020-04-14,21,8.0,0.40759637188208603
2020-04-15,18,10.0,0.40249433106575955
2020-04-16,20,10.0,0.397392290249433
2020-04-17,24,6.0,0.3892290249433105
2020-04-18,14,5.0,0.3764739229024942
2020-04-19,21,8.0,0.35068027210884345
2020-04-20,20,6.0,0.3044617847138854
2020-04-21,24,7.0,0.2925570228091235
2020-04-22,16,6.0,0.26534613845538196
2020-04-23,17,3.0,0.25854341736694664
2020-04-24,12,2.0,0.24425770308123235
2020-04-25,12,2.0,0.24227357609710537
2020-04-26,6,2.0,0.22166918049270978
2020-04-27,10,2.0,0.23217338217338204
2020-04-28,18,5.0,0.2413308913308912
2020-04-29,13,3.0,0.24609279609279594
2020-04-30,4,1.0,0.19847374847374835
2020-05-01,13,3.0,0.16990231990231977
2020-05-02,5,1.0,0.1659340659340658
2020-05-03,1,0.0,0.1329670329670328
2020-05-04,2,0.0,0.0972527472527471
2020-05-05,8,2.0,0.09285714285714268
2020-05-06,3,0.0,0.09999999999999984
2020-05-07,8,0.0,0.17142857142857126
2020-05-08,5,1.0,0.17142857142857126
2020-05-09,4,1.0,0.13571428571428554
2020-05-10,2,1.0,0.13571428571428554
2020-05-11,4,0.0,0.13571428571428554
2020-05-12,5,0.0,0.1547619047619046
2020-05-13,7,0.0,0.11904761904761887
2020-05-14,2,0.0,0.04761904761904745
2020-05-15,3,1.0,0.14285714285714268
2020-05-16,1,0.0,0.14285714285714268
2020-05-17,2,0.0,0.14285714285714268
2020-05-18,3,2.0,0.1904761904761903
2020-05-19,2,0.0,0.1428571428571427
2020-05-20,1,0.0,0.16666666666666652
2020-05-21,3,1.0,0.16666666666666652
2020-05-22,2,0.0,
2020-05-23,6,1.0,
2020-05-24,5,0.0,
2020-05-25,0,0.0,
2020-05-26,2,0.0,
2020-05-27,0,0.0,
2020-05-28,0,0.0,
2020-05-29,2,0.0,
2020-05-30,2,1.0,
2020-05-31,1,0.0,
2020-06-01,3,1.0,
2020-06-02,0,0.0,
2020-06-03,0,0.0,
2020-06-04,0,0.0,
2020-06-05,1,0.0,
2020-06-06,1,0.0,
2020-06-07,0,0.0,
2020-06-08,1,0.0,
2020-06-09,0,0.0,
2020-06-10,0,0.0,
2020-06-11,0,0.0,
2020-06-12,0,0.0,
2020-06-13,0,0.0,
2020-06-14,0,0.0,
2020-06-15,0,0.0,
2020-06-16,0,0.0,
2020-06-17,2,0.0,
2020-06-18,0,0.0,
2020-06-19,1,0.0,
2020-06-20,1,0.0,
2020-06-21,0,0.0,
2020-06-22,1,0.0,
2020-06-23,0,0.0,
2020-06-24,0,0.0,
2020-06-25,1,0.0,
2020-06-26,0,0.0,
2020-06-27,0,0.0,
2020-06-28,0,0.0,
2020-06-29,0,0.0,
2020-06-30,0,0.0,
2020-07-01,0,0.0,
2020-07-02,0,0.0,
2020-07-03,0,0.0,
2020-07-04,0,0.0,
2020-07-05,0,0.0,
2020-07-06,0,0.0,
2020-07-07,2,1.0,
2020-07-08,0,0.0,
2020-07-09,0,0.0,
2020-07-10,0,0.0,
2020-07-11,0,0.0,
2020-07-12,0,0.0,
2020-07-13,0,0.0,
2020-07-14,0,0.0,
2020-07-15,0,0.0,
2020-07-16,0,0.0,
2020-07-17,3,0.0,
2020-07-18,0,0.0,
2020-07-19,0,0.0,
2020-07-20,0,0.0,
2020-07-21,1,0.0,
2020-07-22,3,1.0,
2020-07-23,1,0.0,
2020-07-24,4,1.0,
2020-07-25,2,0.0,
2020-07-26,0,0.0,
2020-07-27,0,0.0,
2020-07-28,2,1.0,
2020-07-29,0,0.0,
2020-07-30,2,1.0,
2020-07-31,1,0.0,
2020-08-01,3,1.0,
2020-08-02,4,0.0,0.11904761904761892
2020-08-03,2,0.0,0.047619047619047485
2020-08-04,2,0.0,0.047619047619047485
2020-08-05,2,0.0,0.0
2020-08-06,1,0.0,0.0
2020-08-07,2,0.0,0.02857142857142844
2020-08-08,4,0.0,0.02857142857142844
2020-08-09,7,0.0,0.07619047619047604
2020-08-10,5,1.0,0.07619047619047604
2020-08-11,5,0.0,0.07619047619047604
2020-08-12,3,1.0,0.11190476190476176
2020-08-13,2,0.0,0.15952380952380937
2020-08-14,3,0.0,0.15476190476190463
2020-08-15,4,1.0,0.15476190476190463
2020-08-16,3,1.0,0.12142857142857132
2020-08-17,6,1.0,0.12142857142857132
2020-08-18,3,0.0,0.12142857142857132
2020-08-19,10,1.0,0.0857142857142856
2020-08-20,5,0.0,0.03809523809523798
2020-08-21,9,0.0,0.014285714285714176
2020-08-22,10,0.0,0.014285714285714176
2020-08-23,11,0.0,0.014285714285714176
2020-08-24,9,0.0,0.061904761904761796
2020-08-25,10,0.0,0.061904761904761796
2020-08-26,10,1.0,0.08231292517006793
2020-08-27,9,3.0,0.10429094714808991
2020-08-28,7,0.0,0.12469911041339603
2020-08-29,14,2.0,0.1389848246991103
2020-08-30,13,2.0,0.14150583310247164
2020-08-31,7,1.0,0.11586480746144602
2020-09-01,20,2.0,0.16348385508049362
2020-09-02,17,2.0,0.16348385508049362
2020-09-03,13,2.0,0.17007726167390022
2020-09-04,12,4.0,0.17347862221811794
2020-09-05,14,2.0,0.19093893967843537
2020-09-06,10,2.0,0.18603697889412163
2020-09-07,18,3.0,0.17834467120181394
2020-09-08,18,4.0,0.13072562358276632
2020-09-09,12,1.0,0.12392290249433094
2020-09-10,10,1.0,0.12596371882086155
2020-09-11,6,0.0,0.12812822098536372
2020-09-12,21,2.0,0.11679035250463811
2020-09-13,14,3.0,0.1048855905998762
2020-09-14,11,2.0,0.09059987631416191
2020-09-15,14,2.0,0.10845701917130478
2020-09-16,8,0.0,0.11389919604205308
2020-09-17,7,0.0,0.11185837971552245
2020-09-18,8,1.0,0.1335034013605441
2020-09-19,15,2.0,0.12408424908424896
2020-09-20,5,1.0,0.14449241234955507
2020-09-21,9,3.0,0.1534209837781265
2020-09-22,13,1.0,0.13556384092098364
2020-09-23,7,1.0,0.12950323486037757
2020-09-24,16,1.0,0.15807466343180615
2020-09-25,20,0.0,0.1263286316857744
2020-09-26,11,1.0,0.1255437023294165
2020-09-27,10,4.0,0.13034562309772382
2020-09-28,9,1.0,0.16903609928820001
2020-09-29,14,1.0,0.16903609928820001
2020-09-30,17,3.0,0.1846205148726156
2020-10-01,9,3.0,0.12747765772975844
2020-10-02,7,0.0,0.1486416788937796
2020-10-03,15,3.0,0.1678493619670089
2020-10-04,18,0.0,0.16127281830606624
2020-10-05,27,7.0,0.13849849118391305
2020-10-06,34,7.0,0.1670699197553416
2020-10-07,23,3.0,0.16528420546962733
2020-10-08,23,4.0,0.21473475492017677
2020-10-09,20,4.0,0.21551284393355988
2020-10-10,16,3.0,0.22181536494196324
2020-10-11,26,9.0,0.21821941855425483
2020-10-12,34,9.0,0.22058558241110196
2020-10-13,28,7.0,0.21936977693997733
2020-10-14,38,4.0,0.22059526713605576
2020-10-15,42,8.0,0.21196104421611853
2020-10-16,47,9.0,0.19570926048375764
2020-10-17,51,10.0,0.19021475498925214
2020-10-18,28,8.0,0.2255973290715166
2020-10-19,53,8.0,0.2269578732892037
2020-10-20,52,11.0,0.23531653590318546
2020-10-21,51,18.0,0.24740558204795918
2020-10-22,60,12.0,0.2441832404797529
2020-10-23,76,19.0,0.2578449470853727
2020-10-24,57,16.0,0.2598832313817215
2020-10-25,76,20.0,0.2471614760129073
2020-10-26,73,18.0,0.24314361887005018
2020-10-27,93,21.0,0.23242933315576447
2020-10-28,72,19.0,0.2359798761799917
2020-10-29,64,11.0,0.24468218751388202
2020-10-30,80,14.0,0.24802856716163152
2020-10-31,72,22.0,0.2553863489840379
2020-11-01,108,35.0,0.2597698853443184
2020-11-02,100,27.0,0.2780734567728898
2020-11-03,119,33.0,0.2871494725002817
2020-11-04,129,38.0,0.282540382487465
2020-11-05,100,30.0,0.27498500628802097
2020-11-06,109,26.0,0.27400756267899845
2020-11-07,161,44.0,0.26695474155054705
2020-11-08,118,32.0,0.2624030588356795
2020-11-09,114,30.0,0.26762283905545975
2020-11-10,136,31.0,0.2709948122323675
2020-11-11,118,31.0,0.27583732894919916
2020-11-12,104,35.0,0.28143138422180497
2020-11-13,103,27.0,0.2837260820052246
2020-11-14,153,47.0,0.3048773425094263
2020-11-15,116,36.0,0.3079974826696656
2020-11-16,154,43.0,0.2899412635264899
2020-11-17,125,47.0,0.29298821275492376
2020-11-18,123,35.0,0.28992031893072745
2020-11-19,138,29.0,0.2915037109082081
2020-11-20,127,36.0,0.2967920733394277
2020-11-21,133,38.0,0.28281288696289036
2020-11-22,84,27.0,0.28378227798413463
2020-11-23,117,37.0,0.3000936203824335
2020-11-24,151,42.0,0.30934358020888375
2020-11-25,127,37.0,0.3119446206250502
2020-11-26,111,36.0,0.3146584721230962
2020-11-27,112,39.0,0.30209012259822493
2020-11-28,102,31.0,0.30490821474983826
2020-11-29,94,32.0,0.3222169886531004
2020-11-30,92,21.0,0.31648644608045257
2020-12-01,94,28.0,0.317336786216507
2020-12-02,80,33.0,0.31143745678776585
2020-12-03,95,27.0,0.29851952365706674
2020-12-04,96,34.0,0.30125692520666014
2020-12-05,99,26.0,0.3070230614483909
2020-12-06,56,14.0,0.30061549842318086
2020-12-07,97,24.0,0.3053654685866848
2020-12-08,68,23.0,0.30364241094257455
2020-12-09,68,25.0,0.31827856843587493
2020-12-10,63,20.0,0.30901930917661563
2020-12-11,76,26.0,0.31200073810725254
2020-12-12,63,23.0,0.29784290105938993
2020-12-13,54,10.0,0.2864474337815697
2020-12-14,82,22.0,0.2887150074777149
2020-12-15,46,11.0,0.2741285413123014
2020-12-16,66,19.0,0.24888946017259914
2020-12-17,66,22.0,0.2539114312962652
2020-12-18,75,18.0,0.2524502646108656
2020-12-19,69,13.0,0.2745658302046921
2020-12-20,59,13.0,0.2816777658880564
2020-12-21,62,16.0,0.2697730039832945
2020-12-22,66,26.0,0.28532117674076957
2020-12-23,77,26.0,0.29514075674668494
2020-12-24,76,19.0,0.3052222007264341
2020-12-25,43,15.0,0.3108728480821505
2020-12-26,70,18.0,0.30221483942414185
2020-12-27,55,16.0,0.2878119490814019
2020-12-28,84,25.0,0.30843569153613026
2020-12-29,75,25.0,0.3062208521119885
2020-12-30,76,18.0,0.3032163169645962
2020-12-31,71,28.0,0.31660293035120957
2021-01-01,54,18.0,0.3135596077590148
2021-01-02,72,17.0,0.29890759310700016
2021-01-03,65,25.0,0.30403404560187364
2021-01-04,76,21.0,0.2969023666392088
2021-01-05,104,24.0,0.29878826951521065
2021-01-06,66,18.0,0.29661957257907184
2021-01-07,90,31.0,0.28842776438726364
2021-01-08,101,35.0,0.28109693731959445
2021-01-09,86,19.0,0.2916839113212026
2021-01-10,55,18.0,0.2840340269589895
2021-01-11,80,18.0,0.28137663441395644
2021-01-12,82,25.0,0.2580040881000917
